,Batch,Condition,FFT Average,FFT Average (smoothed),Spacing / nm,Transform
128,1,1,12.377111549501937,12.32117831830115,1.4316009792172457,8
129,1,1,13.956460895888048,12.488046333389326,1.4216593057504592,8
130,1,1,16.113761011397212,12.329871359275103,1.4118547588142492,8
131,1,1,13.915975018416054,12.889287483865333,1.402184520740179,8
132,1,1,11.361826992593533,12.95979986634584,1.3926458505310622,8
133,1,1,13.438342667719217,12.942524528698964,1.3832360812707172,8
134,1,1,12.737356220781354,13.196476844894166,1.3739526176380277,8
135,1,1,12.97689252268059,13.284674750108469,1.364792933520441,8
136,1,1,12.427663438690228,13.33914005356387,1.3557545697222921,8
137,1,1,17.240365523072214,13.234482316634,1.346835131763593,8
138,1,1,12.518711436246317,13.43038704201926,1.338032287765138,8
139,1,1,14.707042335109517,13.551315206998789,1.329343766416014,8
140,1,1,12.182109935038728,13.763127096599481,1.3207673550197814,8
141,1,1,14.387869834301625,13.601822463794997,1.3123008976158086,8
142,1,1,15.567341322861306,13.444923265877218,1.3039422931723956,8
143,1,1,11.863108821788824,13.595047475372239,1.2956894938485197,8
144,1,1,14.08483640246638,13.64061855075363,1.2875405033211706,8
145,1,1,12.243652224168507,13.699390708457917,1.2794933751754134,8
146,1,1,12.625334469674169,13.654508526947659,1.271546211354448,8
147,1,1,16.797082801347777,13.622548703947073,1.2636971606670748,8
148,1,1,15.407706777330654,14.01976864600685,1.2559444173500989,8
149,1,1,15.121776843185785,13.853163305484891,1.24828621968333,8
150,1,1,14.726793350162529,14.08980561520666,1.2407208486549461,8
151,1,1,13.694325671383172,14.091601162029662,1.2332466266750972,8
152,1,1,13.866029760188294,14.229075319879156,1.2258619163357254,8
153,1,1,10.76511601576702,14.181635313141584,1.2185651192146794,8
154,1,1,14.593994388687031,13.745069376133012,1.2113546747222848,8
155,1,1,13.174249759584772,13.993331700396483,1.2042290589886242,8
156,1,1,10.473578501831003,13.910551096498155,1.1971867837898604,8
157,1,1,11.758142457975863,13.749635303558385,1.1902263955120125,8
158,1,1,13.634347844872313,13.670799666131266,1.1833464741506712,8
159,1,1,11.704240911083783,13.383278306451674,1.1765456323452077,8
160,1,1,16.65205497466776,13.046599591338326,1.169822514446092,8
161,1,1,12.023613545543625,13.18571578510941,1.163175795614012,8
162,1,1,14.556358736826946,12.939972166507692,1.1566041809495262,8
163,1,1,13.354614119450181,13.018338808820767,1.1501064046520568,8
164,1,1,10.906936859797836,12.971846477844572,1.1436812292070733,8
0,2,1,24.181476478543892,19.139833502811197,12.745948631927652,2
1,2,1,17.405739189512833,19.688448769346255,11.949326842432173,2
