Sample E1,,Sample E2,,Sample E3,,Sample E4,,Sample F1,,Sample F2,,Sample F3,,Sample F4,,Sample G1,,Sample G2,,Sample G3,,Sample G4,,
Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),
19.00833321,136.6981506,19.04397964,89.97660065,19.08070946,60.60186386,19.11623001,450.0204468,19.26456261,142.8731384,19.22854233,95.18099213,19.19329262,59.1272316,19.1577282,446.3671875,19.30564499,117.7828217,19.34220695,86.83628082,19.37772751,57.56577301,19.41441727,416.9989319,
20.00833321,138.1119995,20.04472923,88.12435913,20.08039474,61.76364517,20.11712456,444.4397583,20.26239586,143.2048798,20.22762489,96.1466217,20.19170761,58.77865601,20.156147,447.0818481,20.30373001,119.3680649,20.3394165,86.60510254,20.37508392,57.18325424,20.41156197,415.6233826,
21.00833321,139.5919952,21.0437088,89.16766357,21.07906342,61.3719101,21.11408234,444.390625,21.26172829,142.7004242,21.22622871,95.98421478,21.19004059,58.96358871,21.15441704,449.3693237,21.30106163,120.1866837,21.33681297,86.61862946,21.37312508,56.58093643,21.40854073,413.0609131,
22.00833321,138.1088715,22.04541588,89.10279083,22.08045769,61.7179718,22.11745834,447.2283936,22.2640419,143.1303711,22.2284584,95.99835968,22.19281197,59.17243576,22.15737534,447.6689453,22.30522919,120.7771072,22.34112549,86.72441864,22.37706375,57.87078094,22.41264725,417.1542664,
23.00833321,140.3208771,23.04495811,88.59558105,23.08120918,60.79143906,23.11687469,449.5625,23.26570892,143.4723206,23.22939682,96.09940338,23.19479179,59.07790375,23.15754128,445.3885193,23.30670738,119.9204636,23.34270859,87.2558136,23.37862587,57.2380867,23.41439629,413.7301331,
24.00833321,139.772644,24.04487419,89.35780334,24.08006096,60.70254517,24.11654282,448.6477661,24.26272964,143.7505798,24.22729111,96.95566559,24.19181252,59.16366959,24.15554237,448.1637878,24.30291748,119.4588928,24.33954239,86.23425293,24.37537384,56.97929001,24.41108322,417.5954285,
25.00833321,139.8417206,25.04445839,88.11521912,25.07872963,61.12547302,25.11395836,446.6016846,25.2605629,144.5694122,25.22506332,96.2127533,25.18924904,58.78835678,25.15362549,452.5346375,25.30023003,118.4887161,25.33587456,86.88894653,25.37120819,57.68130112,25.40787506,412.8395081,
26.00833321,139.8461914,26.04341698,88.80593872,26.0788765,61.88955307,26.11470795,449.7216492,26.2628746,144.3247223,26.22698021,95.90268707,26.19020844,58.3609314,26.15504074,452.8904419,26.30204201,120.11203,26.3374157,86.42427063,26.37454224,56.90086365,26.40995979,417.2884521,
27.00833321,139.5528412,27.043396,88.00214386,27.07937431,61.52497864,27.11454201,450.598114,27.26070786,145.1101837,27.22525024,95.40013123,27.18972969,59.81833649,27.15395927,448.8566589,27.30262375,121.7689362,27.33770752,87.3445816,27.37387466,56.96231079,27.4092083,415.7976074,
28.00833321,138.7159424,28.04347992,88.54292297,28.07872963,61.49695206,28.11437607,447.9897766,28.26289749,145.1100616,28.22672844,96.33965302,28.19056129,59.18731308,28.15489578,452.926178,28.30208397,120.4491196,28.33812523,86.53606415,28.37389565,57.04094696,28.40987587,415.3384705,
29.00833321,138.8392639,29.04389572,87.71696472,29.07937431,62.51403046,29.11489677,450.5026855,29.26389503,142.9377747,29.22854233,94.96372986,29.19174957,59.7522583,29.15622902,450.1526184,29.30554199,120.5846329,29.3408947,86.40500641,29.37631226,57.98535919,29.41239548,414.8668823,
30.00833321,139.0995789,30.04495811,88.8767395,30.08037567,62.23135757,30.11595917,452.465332,30.262146,144.8258209,30.22664642,94.69012451,30.19089508,59.82455444,30.15541649,454.1940613,30.30189705,120.9553146,30.33756256,87.56646729,30.37406158,56.83188248,30.40929222,414.0386047,
31.00833321,139.686264,31.04372978,88.06944275,31.07975006,62.28765869,31.11395836,451.0513306,31.26256371,144.4299622,31.22672844,94.85726929,31.19087601,59.25318146,31.15564537,449.3129272,31.30208397,119.9404526,31.33722878,86.40903473,31.37289619,56.95903397,31.40858269,417.9187622,
32.00833511,143.1486969,32.04387283,87.99254608,32.07972717,62.32134628,32.11556244,449.4394836,32.26539612,144.0534668,32.22858429,96.21695709,32.19239426,59.22888184,32.15673065,450.0934143,32.3063736,121.5977402,32.34272766,87.21128845,32.37862396,57.01029205,32.4140625,413.072876,
33.00833511,140.493454,33.04496002,87.81417084,33.08070755,62.09645462,33.11645889,444.972168,33.26387405,144.7111969,33.22754288,95.07378387,33.1916275,58.7166748,33.15547943,450.1264038,33.30339432,120.7823715,33.33856201,87.56044769,33.37437439,57.42624283,33.41087341,412.5008545,
34.00833511,141.6796417,34.04314423,87.91499329,34.07923126,61.48356247,34.11506271,442.6347656,34.262146,144.4747009,34.22689438,95.38425446,34.19237518,58.72751236,34.15671158,451.793457,34.30173111,120.666954,34.3380394,86.92773438,34.37387848,57.25238037,34.40956116,417.2704468,
35.00833511,139.9938812,35.04420853,87.23771667,35.07987595,62.5874176,35.11506271,443.8483582,35.26147842,146.786499,35.22637558,94.60083771,35.19039536,59.52381897,35.15454102,453.1496582,35.30206299,120.434494,35.33904266,86.39605713,35.37464523,57.06536102,35.41054153,412.3061218,
36.00833511,141.105484,36.04406357,87.28898621,36.07972717,62.21131516,36.11603928,445.0908813,36.26320648,144.1813354,36.22689438,94.6502533,36.19106293,58.9613266,36.15491486,450.5983276,36.30329132,119.8939056,36.33789444,87.17372894,36.37453842,56.82268524,36.41004181,410.473175,
