Sample A9_Ex509_Em563,,Sample A9_Ex509_Em660,,Sample A10_Ex509_Em563,,Sample A10_Ex509_Em660,,Sample A11_Ex509_Em563,,Sample A11_Ex509_Em660,,Sample A12_Ex509_Em563,,Sample A12_Ex509_Em660,,Sample B9_Ex509_Em563,,Sample B9_Ex509_Em660,,Sample B10_Ex509_Em563,,Sample B10_Ex509_Em660,,Sample B11_Ex509_Em563,,Sample B11_Ex509_Em660,,Sample B12_Ex509_Em563,,Sample B12_Ex509_Em660,,Sample C9_Ex509_Em563,,Sample C9_Ex509_Em660,,Sample C10_Ex509_Em563,,Sample C10_Ex509_Em660,,Sample C11_Ex509_Em563,,Sample C11_Ex509_Em660,,Sample C12_Ex509_Em563,,Sample C12_Ex509_Em660,,
Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),
9.501666069,385.7528381,9.508333206,95.96073151,9.532208443,341.188446,9.53887558,82.06158447,9.563040733,316.138916,9.56970787,120.4315186,9.593374252,383.263855,9.60006237,76.41744232,9.722042084,935.7139893,9.728708267,60.61014938,9.691041946,875.9396973,9.69770813,58.51016617,9.660562515,887.6047974,9.667229652,61.18121338,9.629228592,848.7730103,9.635895729,57.62534332,9.75762558,79.69140625,9.764291763,14.14133835,9.789479256,70.16394806,9.796145439,12.4055233,9.819978714,79.93587494,9.826645851,14.09940243,9.850229263,75.87004089,9.8568964,14.07740116,
10.00166607,385.1785889,10.00833321,92.70662689,10.03172874,339.7772827,10.03839588,79.82935333,10.06289577,311.492218,10.06956291,119.7926483,10.09320927,381.5524902,10.0998745,74.32884979,10.22104168,935.3616943,10.22770786,63.12765884,10.19087505,897.7703857,10.19754124,59.18371964,10.15970898,908.0528564,10.16637516,60.26002884,10.12920856,840.4543457,10.1358757,57.6276741,10.25706291,76.13401031,10.2637291,14.85890865,10.28739643,68.96285248,10.29406261,12.73240852,10.31839561,79.46652222,10.3250618,14.45698166,10.34872913,76.31919861,10.35539532,13.18115711,
10.50166607,397.8032837,10.50833321,93.42034912,10.53204155,339.2753296,10.53872871,79.55867004,10.56270885,316.6370239,10.56939602,120.6481094,10.59320927,386.2810974,10.59989643,74.65118408,10.71854115,932.4840088,10.72520828,62.12571335,10.68770885,911.3452148,10.69437504,59.95370102,10.65706253,883.9986572,10.66372871,60.68164825,10.6273756,853.2671509,10.63404179,57.84317398,10.75414658,77.70584106,10.76081276,15.12813473,10.78554153,69.38174438,10.79220772,12.52273369,10.81606197,79.8895874,10.82272911,13.99430752,10.84689522,77.8216629,10.85356236,13.13850212,
11.00166607,391.9625244,11.00833321,95.42804718,11.03245831,332.6774292,11.03912449,80.14875793,11.06404209,315.8396606,11.07070827,120.0718842,11.09420872,391.9594727,11.1008749,75.28518677,11.22031212,951.3588257,11.22697926,63.90698242,11.1900425,884.4047241,11.19670773,59.03468323,11.1592083,893.1487427,11.16587543,59.58317184,11.12889576,836.3460083,11.13556194,58.81515121,11.25504112,77.62773895,11.26170826,14.28833771,11.28520775,68.75513458,11.29187489,12.97501087,11.31562519,78.8959198,11.32231236,13.94117451,11.34656239,76.12128448,11.35322857,13.42294312,
11.50166607,392.5814209,11.50833321,95.1173172,11.53272915,337.5392761,11.53939629,78.80399323,11.56304073,317.95047,11.5697298,122.8428955,11.59420872,383.6395874,11.6008749,74.66991425,11.72172928,940.2442017,11.72839546,63.38836288,11.69154167,877.4417114,11.69820881,60.43749619,11.66120815,897.690918,11.66787529,61.28159714,11.63070869,860.9544067,11.63737488,56.62688065,11.75787449,77.8766861,11.76454163,15.14913845,11.78787518,70.38191223,11.79456234,13.01613712,11.8187294,79.04146576,11.82539558,13.74953365,11.84914589,75.8002243,11.85581303,13.71565819,
12.00166607,403.1416016,12.00833321,93.72111511,12.03179073,348.0396423,12.03845787,79.82253265,12.06262493,320.1235046,12.06929111,118.7638702,12.09404182,383.1299744,12.10070801,73.94775391,12.22220898,944.8549194,12.22887516,63.78436661,12.19170856,869.772583,12.1983757,61.32883453,12.16070843,902.5301514,12.16737461,60.28888321,12.130229,846.2954712,12.13689613,56.92904282,12.25687504,76.62215424,12.2635622,13.99722958,12.28772926,71.85800171,12.2943964,12.70145512,12.31822872,78.02890778,12.32489586,14.57998753,12.34904194,76.84377289,12.35570908,13.72083378,
12.50166607,400.2696533,12.50837517,93.52380371,12.53254223,341.3555603,12.53920841,78.0276947,12.56287575,313.4858398,12.56956291,119.3917084,12.59387493,391.1947327,12.60054111,73.29938507,12.72204208,953.7542725,12.72870827,62.53513718,12.69154167,884.2860107,12.69820881,59.28887177,12.66070843,897.0075073,12.66737461,60.46543884,12.62939548,844.4455566,12.63606262,59.67479324,12.75820827,76.67636871,12.76487541,15.01508522,12.78954124,70.29840851,12.79622936,12.86600494,12.82037449,79.58096313,12.82704163,13.49272823,12.8508749,76.64351654,12.85754204,12.9515686,
13.00166607,400.8816528,13.00833321,94.37979889,13.03122997,341.2484131,13.03789616,77.38809967,13.06087589,310.4489746,13.06756306,118.4769745,13.0923748,387.1000366,13.09904194,75.01125336,13.22037411,945.9765625,13.22704124,63.9458313,13.18972874,895.7766113,13.19639587,59.03006363,13.15956211,889.0311279,13.16622925,60.58872986,13.12822914,862.2810669,13.13489628,57.91498184,13.25672913,76.69447327,13.26339626,14.82474136,13.28689575,69.44136047,13.29356289,12.28577137,13.31806278,80.29338837,13.32472897,14.38383675,13.34837532,75.65457916,13.35506248,13.51932907,
13.50166607,407.9689331,13.50833321,94.84101105,13.53354168,343.6941833,13.54020786,78.7572403,13.56397915,308.2325134,13.57064629,122.3643875,13.59429073,383.3344727,13.6009798,73.15265656,13.722229,940.3794556,13.72889614,62.76182175,13.69204235,891.7440186,13.69870853,60.08174133,13.66137505,892.3773193,13.66804218,59.14238739,13.6305418,865.7959595,13.63722897,57.96473694,13.75920773,76.26082611,13.76587486,14.42625332,13.78954124,70.56157684,13.79620838,12.83960819,13.81987476,79.93113708,13.8265419,13.87164879,13.8508749,76.77416229,13.85754204,13.70170403,
14.00166607,403.5255432,14.00833321,95.27334595,14.03337479,342.7637634,14.04004192,78.40995026,14.06370831,311.6202087,14.07039547,121.1561584,14.09412575,382.7943726,14.10079098,73.44328308,14.2217083,965.6182251,14.22837543,66.41575623,14.19054127,886.0367432,14.19722939,58.69561005,14.16037464,897.7014771,14.16704178,61.29469681,14.12937546,841.5022583,14.13606262,57.8567543,14.25604153,76.74262238,14.26270866,14.10079384,14.28620815,70.79572296,14.29289532,12.37766266,14.31637478,79.95594025,14.32304192,14.39930344,14.34754086,78.53398132,14.35422897,13.54080105,
