Sample D1_Ex509_Em563,,Sample D1_Ex509_Em660,,Sample D2_Ex509_Em563,,Sample D2_Ex509_Em660,,Sample D3_Ex509_Em563,,Sample D3_Ex509_Em660,,Sample D4_Ex509_Em563,,Sample D4_Ex509_Em660,,Sample E1_Ex509_Em563,,Sample E1_Ex509_Em660,,Sample E2_Ex509_Em563,,Sample E2_Ex509_Em660,,Sample E3_Ex509_Em563,,Sample E3_Ex509_Em660,,Sample E4_Ex509_Em563,,Sample E4_Ex509_Em660,,Sample F1_Ex509_Em563,,Sample F1_Ex509_Em660,,Sample F2_Ex509_Em563,,Sample F2_Ex509_Em660,,Sample F3_Ex509_Em563,,Sample F3_Ex509_Em660,,Sample F4_Ex509_Em563,,Sample F4_Ex509_Em660,,
Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),
9.501666069,246.631546,9.508333206,174.9741516,9.531812668,335.9925537,9.538479805,183.6872864,9.562624931,205.068222,9.569291115,155.7359314,9.593458176,265.2533264,9.600125313,160.4202271,9.719624519,773.5788574,9.726291656,54.60501099,9.689791679,643.3948975,9.696457863,45.65555191,9.659124374,660.1896362,9.665791512,47.60034943,9.629124641,717.5640259,9.635791779,51.3807373,9.75362587,92.46201324,9.7602911,17.89910507,9.784291267,80.55316162,9.790958405,14.57062054,9.814291,75.29629517,9.820958138,14.06149101,9.844290733,88.02162933,9.850979805,16.30101585,
10.00166607,253.140625,10.00831318,172.8815918,10.03162575,340.4512329,10.03831291,185.0245056,10.06262493,203.0747375,10.06929111,157.6562042,10.09329128,266.4703369,10.09995842,159.8834991,10.21745777,777.4521484,10.22412491,55.64170456,10.18779182,637.7182617,10.19445801,46.97519302,10.15779209,654.8783569,10.16445827,47.36593628,10.12695789,717.0288086,10.13362503,52.64992142,10.25329208,94.41470337,10.25995827,17.23113251,10.28412437,80.66264343,10.29079151,14.7936306,10.31412411,77.45206451,10.32079124,14.62413216,10.34412575,86.8540802,10.35081291,16.40212631,
10.50166607,251.7718353,10.50831318,172.465332,10.53345871,336.4264221,10.54012489,180.848175,10.56345844,202.6375732,10.57012558,158.0413666,10.59445763,264.4777832,10.60112476,157.0834808,10.72045803,772.3139648,10.7271452,55.94789505,10.6904583,641.7570801,10.69712543,46.18213272,10.66045856,654.9884033,10.6671257,47.17223358,10.62945843,723.1118774,10.63614559,51.23903656,10.75645828,93.13488007,10.76312447,18.2022953,10.78645802,81.76171112,10.79312515,14.84863091,10.81745815,75.34139252,10.82414532,14.11829376,10.84829235,88.30485535,10.85495853,15.95425606,
11.00166607,250.6758575,11.00831318,171.7710114,11.03195763,339.1509094,11.03862476,181.9607086,11.06195927,209.5813599,11.06864643,153.7480927,11.09295845,267.337738,11.09962463,155.1206207,11.21962452,772.1494141,11.22629166,55.02631378,11.18979168,636.8370361,11.19645786,47.04921722,11.1587925,647.6962891,11.16545773,47.53265762,11.12895775,730.5806274,11.13562489,53.05352783,11.25362587,94.54846954,11.2602911,18.16410255,11.2836256,80.02524567,11.29031277,14.46225929,11.31445789,77.31867218,11.32112503,14.47722912,11.34445763,87.17206573,11.35112476,16.52775002,
11.50166607,250.2545776,11.50831318,174.0569305,11.5326252,338.8421631,11.53931236,178.2057343,11.56345844,207.2947693,11.57012558,154.8212585,11.59329128,274.2121277,11.59995842,155.1285248,11.71962452,780.1051636,11.72629166,53.40348053,11.68979168,632.394104,11.69645786,47.93660736,11.65979195,643.6707764,11.66645813,47.49399185,11.62895775,717.7192383,11.63562489,51.7290802,11.75345898,93.16452026,11.76012516,18.11211395,11.78329182,79.69049835,11.78997898,15.05702209,11.814291,76.35145569,11.82095814,14.01518154,11.84429073,87.81530762,11.85095787,16.79265404,
12.00166607,259.3198853,12.00831318,170.339859,12.03279209,338.1191711,12.03947926,182.9008179,12.06362534,208.2891235,12.07029247,155.2390594,12.09345818,274.6150818,12.10014534,156.7201385,12.22062492,758.4661865,12.22731209,55.90605545,12.19062519,629.0046387,12.19729233,46.93044662,12.15979195,646.9296265,12.16645813,46.47200012,12.12995815,710.2310181,12.13662529,53.02359772,12.25645828,93.64346313,12.2631464,18.04250908,12.28745842,81.8283844,12.29412556,14.73285866,12.31812572,74.17176819,12.32479191,14.07583904,12.34812546,87.14820862,12.35479164,16.38077164,
12.50166607,255.1485901,12.50831318,169.4954834,12.53164577,337.3127441,12.53831291,181.1634064,12.56245804,210.9610138,12.56912518,159.0424042,12.59320927,273.8615417,12.5998745,155.521637,12.71879196,761.4541016,12.7254591,54.49544525,12.68779182,633.0057373,12.69445801,46.51224518,12.65764523,648.2148438,12.66431236,45.17790604,12.6270628,722.4933472,12.63372898,51.26833725,12.75362587,93.67966461,12.7602911,17.63388062,12.78412437,79.42703247,12.79079151,14.82555389,12.81447983,76.12519073,12.82112503,14.68900394,12.84522915,87.75691223,12.85189629,16.24657822,
13.00166607,259.1497192,13.00831318,172.8674164,13.03222942,340.3466187,13.03889561,182.548233,13.06222916,202.8498535,13.06889534,154.955658,13.09354115,272.1212769,13.10020828,156.2837677,13.22279167,767.2339478,13.22947884,55.68005371,13.19145775,642.2167358,13.19812489,46.71458435,13.16114616,650.9498901,13.16781235,46.75120163,13.13006306,711.9439087,13.13672924,50.59869385,13.25916672,92.32386017,13.26581192,18.01914978,13.28929138,80.23999786,13.29595852,14.40352154,13.32054138,75.00218964,13.32720852,14.3245306,13.35131264,87.15943146,13.35797977,16.31031227,
13.50166607,257.1992493,13.50831318,171.5265045,13.53179073,339.4124756,13.53845787,180.4856873,13.56229115,204.1760712,13.56895828,155.3081055,13.59329128,276.6508179,13.59995842,159.9748383,13.71995831,764.6907349,13.72662449,55.00281906,13.68845844,635.1743774,13.69512558,47.56744385,13.65772915,652.423584,13.66439629,47.00918198,13.6277914,715.4639282,13.63445854,51.90078354,13.75529194,91.92416382,13.76195908,18.56368828,13.78645802,79.20217896,13.79312515,15.02303982,13.81681252,75.22771454,13.82347965,14.61359406,13.84745789,88.1197052,13.85412502,16.00233078,
14.00166607,257.0243225,14.00831318,170.6519318,14.03145885,336.9221191,14.03812504,183.0872803,14.06245804,207.3184204,14.06912518,156.6222534,14.09329128,280.567749,14.09995842,157.953186,14.22045803,769.4543457,14.22712517,54.89819336,14.19006252,623.1038208,14.19672966,46.75231934,14.15962505,650.2758789,14.16629124,47.28423309,14.1277914,712.2491455,14.13445854,52.04053497,14.2561245,93.78897858,14.26279163,17.8004818,14.28689575,79.87684631,14.29356289,14.65100002,14.31781197,75.20988464,14.3244791,14.20832062,14.34839535,87.95890045,14.35506248,15.92746544,
