Sample F9,,Sample F10,,Sample F11,,Sample F12,,Sample G9,,Sample G10,,Sample G11,,Sample G12,,Sample H9,,Sample H10,,Sample H11,,Sample H12,,
Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),
17.50166702,154.5372314,17.52510452,227.3482971,17.54779243,184.6563873,17.5704155,253.3811035,17.66501999,234.8996582,17.64208412,218.9091339,17.61945724,260.6499329,17.59627151,292.0829773,17.69262505,87.87890625,17.71541786,73.12760162,17.73760414,81.09638214,17.7600193,81.44655609,
18.00166702,156.8388824,18.02427101,226.4238129,18.04610443,185.8638458,18.06925011,258.5271606,18.16391563,236.390976,18.14093781,218.4746094,18.1186657,263.440094,18.09576988,300.7911377,18.19185448,88.84633636,18.21433258,74.01983643,18.23618698,80.33437347,18.25941658,80.40857697,
18.50166702,155.2358246,18.52393723,231.0663452,18.54693794,183.519455,18.56935501,260.1389771,18.66501999,232.925827,18.64262581,216.2242584,18.62058258,258.4394836,18.59718895,303.0560913,18.69375038,88.09524536,18.71574974,73.73303986,18.73827171,81.19374084,18.76145744,81.72964478,
19.00166702,156.2014771,19.02366829,228.1765442,19.04574966,185.0931244,19.0689373,260.0421143,19.16608238,232.5329132,19.14308357,219.0349579,19.12075043,261.0234375,19.09768677,304.2669373,19.19179153,87.61424255,19.2145195,73.31079865,19.23674965,80.28901672,19.25910378,80.35501862,
19.50166702,154.2468719,19.52301979,232.6391449,19.54508209,186.3949585,19.56779099,260.4708862,19.6627903,232.7734222,19.63993645,216.3926392,19.61812592,255.4249115,19.59593773,301.7025452,19.69079208,86.95088196,19.71325111,74.17451477,19.73610497,80.66915894,19.75912476,80.56382751,
20.00166702,156.8456421,20.024189,232.8668365,20.046772,185.3417053,20.06900024,261.8658752,20.16201973,233.1666565,20.13962364,219.9044037,20.11743736,257.4620972,20.09379005,303.0995789,20.18660545,86.53656006,20.20960426,73.54750061,20.23258209,81.44009399,20.25491714,78.32985687,
20.50166702,154.7747345,20.52293777,232.8875885,20.54508209,186.2362213,20.56812477,261.3963928,20.66374969,236.691803,20.64166641,215.3507385,20.61891747,256.1702576,20.59658432,298.3468323,20.68966675,87.38379669,20.71112442,73.34173584,20.7337513,79.70449066,20.75574875,80.39067078,
21.00166702,155.5059357,21.02462578,232.231369,21.04775047,187.4396515,21.06979179,265.615448,21.1657486,230.4939423,21.14262581,222.2645111,21.11958504,260.47995,21.0966053,303.5868225,21.19326973,88.26657104,21.21618652,74.10166931,21.23910332,80.2201767,21.26143837,82.26593018,
21.50166702,156.7253723,21.52366829,230.8414307,21.54658318,188.0539856,21.5689373,271.2871399,21.66500092,235.4391632,21.64218712,216.2693024,21.62010574,260.1996155,21.59758377,301.1629333,21.69326973,88.42433167,21.71618652,74.2148056,21.73841667,80.03865814,21.76141739,80.22872925,
22.00166702,156.9860077,22.0253334,232.8335419,22.04710579,187.1022491,22.06991577,270.3753357,22.16608238,234.4049072,22.1437912,219.2589417,22.12091637,255.5266876,22.09877205,300.3830261,22.19429207,87.44139862,22.21666718,73.04977417,22.23874855,79.64138794,22.26127052,81.17072296,
22.50166702,157.1161346,22.52312469,236.9529877,22.54452133,187.6591492,22.56758499,271.519043,22.66266632,236.094635,22.64043808,217.3982391,22.61758423,256.7079163,22.59475136,297.2459412,22.68899918,85.76838684,22.71075058,74.13340759,22.73327065,79.90878296,22.75601959,81.75428772,
23.00166702,159.8238983,23.02377129,236.5983124,23.04599953,190.3996429,23.06741714,276.4407959,23.16399956,234.775589,23.14141655,217.2368469,23.11818886,257.7824402,23.09545898,301.578125,23.19124985,86.72521973,23.21393776,75.35140228,23.23699951,79.55770111,23.25941658,79.82022095,
23.50166702,158.2628326,23.52327156,235.9263306,23.54616737,189.5427551,23.56762505,276.6569824,23.66379166,235.745636,23.64126968,219.9944763,23.61808205,258.7498779,23.59560394,294.3619385,23.6916256,87.86898804,23.71412468,74.47019958,23.73691559,80.94232941,23.75916672,81.22592163,
24.00166702,158.9134216,24.02310371,236.8491058,24.04543686,191.1082153,24.06875038,279.3731384,24.16095734,228.6042175,24.13899994,216.6768494,24.11750031,260.0549622,24.09600067,298.7994995,24.18966675,87.03419495,24.21258354,72.28025818,24.23545647,81.68544006,24.25752068,80.62029266,
24.50166702,156.8841095,24.52524948,238.2197418,24.54760361,187.5554047,24.5705204,282.3328857,24.6673336,235.8169556,24.64443779,218.7434692,24.62193871,251.8100128,24.59875107,304.4616089,24.69543648,86.94775391,24.71779251,73.8026123,24.74002075,83.00583649,24.76141739,82.43740845,
25.00166702,156.9116058,25.0234375,238.9216919,25.04574966,190.9660645,25.06850052,282.9517822,25.1639595,232.2536011,25.14191628,218.879837,25.11912346,255.7255859,25.09643745,300.072876,25.19210434,86.42103577,25.21485329,73.60990906,25.23708344,81.16416168,25.25910378,80.76399231,
25.50166702,159.1076355,25.52335358,241.8430634,25.54641724,189.5781555,25.56824875,290.1164551,25.66302109,234.4450989,25.63995743,217.0739288,25.61774826,260.2213745,25.59462547,299.8813171,25.68893814,87.1759491,25.71175003,75.20855713,25.73449898,80.36986542,25.75725174,81.6499939,
26.00166702,159.1059265,26.02350044,240.3931732,26.04574966,189.8976593,26.06845856,285.2654419,26.16525078,232.3133087,26.14218712,217.2570343,26.1199379,256.8677979,26.09724998,305.1114502,26.19318771,87.05981445,26.21508408,73.9161911,26.23695946,80.19044495,26.26018715,80.67300415,
26.50166702,158.5276031,26.52391815,242.5953979,26.54524994,191.4452515,26.56833267,291.7795105,26.66512489,232.574234,26.64193726,219.1239624,26.61925125,257.8479004,26.59693718,302.0454102,26.69295883,86.68844604,26.71541786,73.60162354,26.73777008,80.97452545,26.76074982,81.48519135,
27.00166702,161.3736115,27.02295685,239.5378723,27.04524994,189.2354584,27.0681057,290.5276489,27.16391563,236.6691589,27.14108276,219.1859741,27.11826897,252.1295319,27.09575081,300.240387,27.19008446,87.14403534,27.21243668,73.42192841,27.2351265,80.95004272,27.25785255,79.82372284,
27.50166702,160.8666077,27.52375031,240.8255157,27.54610443,192.3283386,27.56952095,290.9156494,27.6657486,232.6232452,27.64343643,224.4090576,27.6204586,252.3314362,27.5974369,301.8157043,27.69345856,88.36144257,27.71674919,74.27866364,27.7394371,81.38210297,27.7619381,80.48941803,
28.00166702,161.9822693,28.02391815,241.3012085,28.04608345,190.4963226,28.0688343,292.2758484,28.16360474,229.1703949,28.14141655,221.5430298,28.11918831,256.4894409,28.09679222,309.136261,28.19210434,87.79432678,28.21443748,73.6035614,28.23718643,81.84492493,28.25977135,80.43838501,
28.50166702,160.9228973,28.52327156,240.9076233,28.54577065,193.2623291,28.56808281,292.2201538,28.66477013,228.9841766,28.64158249,223.124115,28.61966705,255.7622833,28.59643745,301.5818481,28.69216728,86.85920715,28.71341705,74.46981812,28.73577118,80.65431213,28.75895882,80.44384766,
29.00166702,161.9429169,29.02327156,244.1472626,29.04643822,193.4532318,29.06875038,293.4381104,29.16310501,235.0141296,29.14091682,217.3382111,29.11745834,252.9145508,29.0951252,308.3610229,29.19225121,87.00549316,29.21443748,73.98078918,29.23708344,80.36965942,29.25993729,81.51299286,
29.50166702,162.5267487,29.52312469,243.5241699,29.54616737,193.2490234,29.5684166,298.4203186,29.66491699,235.7872467,29.64227104,217.0550385,29.61941719,253.6931,29.59645844,304.5578003,29.69033432,86.80503845,29.71358299,73.35678101,29.73577118,80.74652863,29.75858307,81.14580536,
30.00166702,159.3063965,30.02377129,243.8319092,30.046772,189.6209564,30.0696888,308.662384,30.16366577,232.8180847,30.14093781,215.7900848,30.11808205,260.0985413,30.09558296,302.2983093,30.18993759,84.97893524,30.21243668,73.18808746,30.23566628,80.09989929,30.25774956,80.37865448,
30.50166702,160.2181091,30.52443886,244.5529175,30.54693794,194.6435242,30.56929207,305.6599426,30.66412544,229.4662476,30.64108276,219.0443726,30.61902046,251.1708679,30.59591675,302.5075684,30.68976974,87.97142792,30.71229172,73.17507935,30.73525047,80.55806732,30.75793648,79.89994049,
31.00166702,159.4538727,31.02385521,244.7851563,31.0451889,194.942276,31.06641579,306.5743408,31.16295815,230.4133301,31.14077187,215.3697357,31.11810493,253.0839691,31.09485435,303.6178284,31.19127083,88.16174316,31.21402168,73.60125732,31.23616791,81.81449127,31.25743866,82.97023773,
