Sample A1_Ex555_Em570,,Sample A1_Ex555_Em670,,Sample A2_Ex555_Em570,,Sample A2_Ex555_Em670,,Sample A3_Ex555_Em570,,Sample A3_Ex555_Em670,,Sample A4_Ex555_Em570,,Sample A4_Ex555_Em670,,Sample B1_Ex555_Em570,,Sample B1_Ex555_Em670,,Sample B2_Ex555_Em570,,Sample B2_Ex555_Em670,,Sample B3_Ex555_Em570,,Sample B3_Ex555_Em670,,Sample B4_Ex555_Em570,,Sample B4_Ex555_Em670,,Sample C1_Ex555_Em570,,Sample C1_Ex555_Em670,,Sample C2_Ex555_Em570,,Sample C2_Ex555_Em670,,Sample C3_Ex555_Em570,,Sample C3_Ex555_Em670,,Sample C4_Ex555_Em570,,Sample C4_Ex555_Em670,,
Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),
12.00166607,62.31485367,12.00841713,29.3514061,12.03285408,55.23058701,12.03960323,28.6089859,12.06393719,62.22638702,12.07068825,19.3494606,12.09510422,75.31614685,12.10185432,15.63446617,12.22277164,71.08557892,12.2295208,25.19154167,12.19177055,57.24881744,12.19852066,28.41594696,12.16137505,54.17455292,12.16810417,26.56592369,12.13127041,72.98523712,12.13802052,26.76502609,12.25743675,71.24603271,12.26418781,33.26245499,12.28835487,54.34160995,12.29510403,28.11653519,12.31877041,54.15642166,12.32552052,22.77910042,12.34910393,82.76091766,12.35583305,22.77880859,
12.50166607,66.83078766,12.50841713,23.75059891,12.53370857,64.31742096,12.5404377,23.8717823,12.564188,73.87792969,12.57093716,23.22245789,12.59527111,71.00891113,12.60202122,9.481413841,12.72227097,72.85285187,12.72902107,28.27629089,12.69120789,64.92655945,12.69793701,23.50728226,12.66087532,63.51618576,12.66760445,30.73226166,12.63027,72.91910553,12.63702106,29.17222595,12.75854206,83.33946991,12.76527119,27.31298065,12.78952122,49.31605911,12.79627037,25.27590752,12.81977177,50.57685471,12.82652092,19.86901665,12.85154247,89.30632019,12.8582716,29.33789825,
13.00166607,73.90161896,13.00841713,21.06864929,13.03270912,67.00985718,13.03943825,24.50519562,13.06279182,65.13913727,13.06954098,28.15096855,13.09329128,64.45000458,13.10004139,13.14058781,13.22020912,76.08896637,13.22693825,23.70903969,13.1897707,70.6607132,13.19652081,26.23099518,13.15910435,55.96276855,13.1658535,24.83906364,13.12802124,98.70640564,13.13477039,31.27401733,13.25693798,78.89851379,13.26368713,31.2684803,13.28710461,48.63718033,13.29385376,27.89314651,13.31768799,51.37787247,13.32443714,24.73310089,13.3487711,93.92494202,13.35552025,26.97866631,
13.50166607,61.61677551,13.50841713,19.93297577,13.53179073,59.89817429,13.53854179,23.50017929,13.56310463,66.57002258,13.56985378,21.66973495,13.59320927,67.89318848,13.59993839,12.67691708,13.72187519,76.66385651,13.72860432,29.70612526,13.69068718,63.00859833,13.69743729,27.90461159,13.66027164,73.20197296,13.6670208,31.63440132,13.62977123,80.96378326,13.63652039,25.70821953,13.7564373,67.89099121,13.76318741,27.98586845,13.78645802,64.94787598,13.79320908,22.97314262,13.81760502,45.03280258,13.82435417,32.08437729,13.84843731,81.82386017,13.85518837,24.46972084,
14.00166607,59.38512802,14.00841713,15.87679768,14.03243732,67.11577606,14.03918743,18.30641174,14.06243801,64.27549744,14.06918716,21.83214951,14.09302044,71.49097443,14.0997715,11.23012066,14.22210407,79.28264618,14.22885418,24.46872139,14.19129086,69.98284149,14.19804192,31.9973011,14.15999985,57.33136368,14.16674995,23.19906998,14.12920856,83.05643463,14.13593769,34.18529129,14.25760365,75.2859726,14.26435471,28.06125832,14.28877068,59.2010498,14.29552078,24.56929207,14.31910419,51.09300232,14.3258543,22.382864,14.35035419,82.65356445,14.3571043,19.06237221,
14.50166607,72.6890564,14.50841713,24.10102844,14.53260422,63.23733902,14.53935432,21.18766403,14.56362534,65.57077026,14.57037449,24.06539345,14.59412575,59.68734741,14.60091686,9.152597427,14.72027111,69.32426453,14.72702122,26.62231636,14.69010448,77.57924652,14.69685459,28.58709908,14.65893745,50.28863144,14.66568661,27.25540161,14.62860394,82.3290329,14.635355,34.14351273,14.7564373,80.93939972,14.76318741,26.21940804,14.78710461,59.85166931,14.79385376,24.36058044,14.8173542,48.68889618,14.82410336,30.11523819,14.84762478,81.66893005,14.85437489,24.93496323,
15.00166607,68.93999481,15.00841713,28.54523277,15.03260422,67.04333496,15.03935432,22.44700432,15.06293774,74.89292145,15.06968784,23.74862099,15.09320927,71.05583191,15.09993839,9.726187706,15.2210207,79.61369324,15.22777081,29.08667183,15.19060421,72.17947388,15.19735432,32.79342651,15.16027164,55.8204155,15.1670208,36.353508,15.12927055,82.13791656,15.13602066,22.28332329,15.25727177,67.24528503,15.26402092,33.60964203,15.28710461,52.29942322,15.29385376,28.77762413,15.3184576,58.36616135,15.32520866,29.62813759,15.34885502,91.49849701,15.35560417,21.60571098,
15.50166607,61.78056335,15.50841713,20.35425949,15.53110409,61.50391006,15.53785419,23.97382355,15.56243801,77.49032593,15.56918716,30.28605461,15.59254169,71.85919952,15.59927082,13.10794258,15.720541,71.60426331,15.72727013,22.08587265,15.6902914,64.25154877,15.69704151,31.94769478,15.65929127,50.05451584,15.66604233,23.72408867,15.62860394,78.31526184,15.635355,26.56960869,15.75593758,69.50292206,15.76268673,24.19218445,15.78693771,59.85663223,15.79368782,30.73250198,15.81760502,46.72614288,15.82435417,23.76423454,15.84962463,74.31764984,15.85637474,24.11890221,
16.00166702,61.54910278,16.00841713,22.2027092,16.03127098,69.38944244,16.03802109,24.10230637,16.06160355,73.13926697,16.06835365,25.28200722,16.09276962,63.1276207,16.09952164,11.40346527,16.218853,76.53247833,16.22560501,25.77794266,16.18793678,63.82632446,16.1946888,24.50546646,16.15777016,62.25789261,16.16452217,26.34455109,16.12726974,87.10836792,16.13402176,29.38640022,16.25443649,78.69513702,16.26120758,18.60664749,16.28479195,51.28519058,16.29154205,25.22444344,16.31510353,47.12661362,16.32185555,25.5311718,16.34510422,93.49681854,16.35185432,22.17736816,
16.50166702,70.57003021,16.50841713,23.80013275,16.5326252,62.64545059,16.53937531,22.29454994,16.56343842,71.43202972,16.57018661,16.8493576,16.59377098,68.87909698,16.60052109,10.89295006,16.72104263,80.42453766,16.72777176,21.47974396,16.69027138,54.84016418,16.69701958,25.24923325,16.6599369,66.99066162,16.66668701,29.56907082,16.62943649,108.6715775,16.63618851,35.79288483,16.75710487,69.94729614,16.76387596,27.89275551,16.7884388,70.53540802,16.795187,29.08498764,16.81837463,44.62853622,16.8251667,28.10665703,16.84937477,79.41503906,16.8561039,18.01029205,
17.00166702,64.33784485,17.00841713,23.14417076,17.03254128,66.09241486,17.03929138,19.46316147,17.06287575,73.0917511,17.06960487,24.73069382,17.09326935,71.09065247,17.10001945,17.46477318,17.22060394,83.76309967,17.22735405,32.69491959,17.19062424,71.61562347,17.19737625,28.35198402,17.1599369,52.85980225,17.16668701,24.6289978,17.12910271,89.96076965,17.13585472,21.439188,17.25679207,63.24624252,17.26354218,22.2348423,17.28710365,66.41591644,17.29385376,28.07315063,17.31762505,44.28518295,17.32437515,25.66957283,17.3474369,100.6781998,17.35418701,22.77487183,
17.50166702,66.32974243,17.50841713,22.1151123,17.53362465,65.41524506,17.54037476,18.17224121,17.56345749,71.44250488,17.5702095,28.2471199,17.59404182,61.2414856,17.60077095,13.76875973,17.72029305,77.2015686,17.72704315,27.33579063,17.69020844,68.93762207,17.69693756,26.57597351,17.65860367,56.7434082,17.66535378,20.84440231,17.62804222,84.25,17.63477135,38.58237839,17.75468826,82.62944031,17.76143837,24.22873688,17.78527069,68.39459991,17.7920208,28.91735268,17.81560516,60.38551331,17.82235527,31.24191666,17.84593773,97.92904663,17.85268784,17.99456978,
18.00166702,80.0345993,18.00841713,22.5350399,18.03260422,62.77422714,18.03935432,21.24717712,18.0631237,75.68006897,18.06987572,20.88306236,18.09393692,76.17912292,18.10068703,12.29375267,18.22076988,77.400177,18.22751999,28.75531006,18.19110489,66.9977951,18.19785309,25.83677292,18.16010284,65.02848053,18.16685295,26.07157516,18.12877083,101.6427917,18.13552094,29.76786232,18.25679207,69.29811859,18.26358223,27.25841713,18.28743744,72.84928131,18.29418755,34.86938095,18.3181057,46.98446655,18.3248539,31.93779755,18.34843826,91.14134979,18.35518837,23.17156029,
18.50166702,70.39395905,18.50841713,20.94366074,18.53204155,61.54153442,18.53877068,22.2428875,18.56243706,74.97364044,18.56918716,25.25969315,18.59310532,85.98271179,18.59985352,7.38002634,18.72076988,66.28862762,18.72751999,25.24042892,18.6904583,68.36088562,18.6972084,29.83597183,18.66004181,57.28295135,18.66677094,27.2036972,18.62877083,86.46681213,18.63552094,29.69870567,18.75693703,72.22864532,18.76368904,26.86968231,18.78710365,55.16091537,18.79385376,29.55146599,18.81752205,51.53002548,18.82427216,30.60131645,18.8487072,97.44577789,18.85543823,24.94941139,
19.00166702,73.94277191,19.00841713,22.15385437,19.03337479,65.51590729,19.04010391,25.45281219,19.06277084,70.96073914,19.06952095,22.35068321,19.09402084,82.82807159,19.10077095,9.893634796,19.22054291,74.82684326,19.22727013,27.14382553,19.19043732,73.87944031,19.19718742,31.04218483,19.16012573,58.94605255,19.16687393,27.60494804,19.12887573,88.15898895,19.13560295,27.97052956,19.25710487,80.20513153,19.26385498,26.72551537,19.28777122,58.05127716,19.29452133,30.40948868,19.3181057,48.15760803,19.3248539,23.91290283,19.34843826,88.4821701,19.35518837,19.61369705,
19.50166702,69.22861481,19.50841713,26.02942848,19.53202057,70.58779144,19.53877068,24.40925407,19.56327057,74.98355103,19.57002068,23.11433983,19.59343719,69.19194794,19.6001873,13.35834026,19.72120857,83.69676208,19.7279377,29.39698792,19.69143677,59.26050186,19.69818687,27.07603836,19.6603756,61.19946289,19.66710472,22.29024315,19.62904167,89.0193634,19.6357708,29.82996941,19.75693703,72.64578247,19.76368904,27.35774803,19.78710365,58.59191513,19.79385376,25.29337883,19.81777191,59.52275848,19.82452011,23.57476997,19.84754181,99.84536743,19.85427094,21.64279747,
