Sample A1,,Sample A2,,Sample A3,,Sample B1,,Sample B2,,Sample B3,,Sample C1,,Sample C2,,Sample C3,,Sample D1,,Sample D2,,Sample D3,,
Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),
61.00083542,144.214325,61.02051926,2.504612684,61.04170609,68.85807037,61.10943604,136.696991,61.08835602,3.519697905,61.06783295,69.27639008,61.13568878,139.7300415,61.15687561,2.605386972,61.17808533,74.337677,61.24419022,187.9022675,61.22285461,2.725742579,61.20183563,62.75237274,
62.00083542,138.880722,62.02116776,2.527268887,62.04216766,68.63773346,62.11116409,131.7601624,62.08958435,3.651962996,62.06868744,70.23755646,62.13727188,137.4325256,62.15749741,2.747450352,62.17802048,71.5975647,62.24487305,188.5965271,62.22368622,2.815727234,62.20326996,62.82380295,
63.00083542,142.749649,63.02143478,2.399595022,63.04185486,68.93498993,63.10716629,134.9913788,63.08699799,3.611860275,63.06554413,69.97471619,63.13335419,135.8157196,63.15383148,2.621171236,63.17485428,70.50346375,63.24320984,188.9155884,63.22183609,2.945028782,63.20133591,61.97451019,
64.0008316,139.5385895,64.02116394,2.545828819,64.04235077,67.19095612,64.11016846,135.0520782,64.08916473,3.705251217,64.06900024,69.75386047,64.13487244,134.7093506,64.15543365,2.55497241,64.1765213,71.04577637,64.2438736,185.7480469,64.22333527,2.967620134,64.20275116,61.42942047,
65.0008316,139.416626,65.02191925,2.29464817,65.04335785,67.27281189,65.11174774,132.2190552,65.09018707,3.61135006,65.06968689,70.42948914,65.13600159,134.7363129,65.15718842,2.478909254,65.17808533,72.19217682,65.24460602,187.9913483,65.22304535,2.855511189,65.2026825,62.62802887,
66.0008316,140.1843872,66.02191925,2.535640717,66.04316711,68.49676514,66.11083221,131.4162598,66.09049988,3.693163633,66.06937408,71.13989258,66.13626862,136.8444977,66.15650177,2.570998192,66.1776886,70.01708984,66.24382782,189.6373291,66.22268677,2.986088514,66.2021637,62.19608307,
67.0008316,141.8012848,67.02152252,2.572858334,67.04199982,68.50234222,67.10985565,133.3941803,67.08950043,3.497953653,67.06819153,70.8813324,67.13460541,137.2134247,67.15567017,2.598412991,67.17618561,70.85588074,67.24352264,185.2322083,67.22302246,2.96281004,67.20266724,61.76761246,
68.0008316,140.5749817,68.02166748,2.566661835,68.04302216,68.26426697,68.10926819,135.7906342,68.08818817,3.76928401,68.06783295,69.938591,68.13368988,138.0867615,68.15403748,2.667433262,68.17533112,71.1516571,68.242836,191.0409698,68.22257996,2.946863651,68.20118713,63.33280945,
69.0008316,139.3376923,69.02037811,2.609797239,69.04160309,66.80488586,69.10941315,131.445343,69.08887482,3.772736788,69.06771088,70.06551361,69.13433075,135.7367859,69.15554047,2.622596741,69.17666626,69.87424469,69.24282837,189.102951,69.22151947,2.857954979,69.20116425,61.24352264,
70.0008316,138.7407074,70.02119446,2.329210758,70.04158783,67.40816498,70.10993958,132.8391724,70.08885193,3.521462679,70.06816101,69.28292847,70.1361618,134.6803131,70.15735626,2.465078115,70.17771149,71.05316162,70.24599457,188.2126465,70.22516632,2.942369938,70.20417023,61.17656326,
71.0008316,139.6854248,71.02233124,2.472949743,71.04283142,68.44060516,71.10926819,129.8150024,71.08802032,3.931360245,71.06752014,70.4956131,71.13568878,139.5538177,71.15670776,2.578682184,71.17700195,70.89149475,71.24333191,186.9615936,71.22291565,2.922249317,71.20168304,62.86708832,
72.0008316,140.7153473,72.02201843,2.49874258,72.0424118,67.08466339,72.11051941,134.4316711,72.08966827,3.747881413,72.0693512,69.8104248,72.13716888,138.5406647,72.15766907,2.552451849,72.17835236,70.98960876,72.24668884,188.5662994,72.22583008,3.077914953,72.20466614,64.24771118,
73.0008316,141.8414764,73.02235413,2.333856106,73.04283142,67.18797302,73.10852051,131.230484,73.08799744,3.739602089,73.06749725,69.99247742,73.13477325,134.2559967,73.15510559,2.58180213,73.17610931,70.67995453,73.24452209,190.2804718,73.22325134,3.138988733,73.20224762,61.98875809,
74.0008316,138.0572052,74.02083588,2.706139565,74.04183197,67.12775421,74.10993958,130.8577881,74.08901978,3.443357944,74.06735229,69.76998901,74.13601685,135.1146698,74.15653992,2.788038254,74.17708588,71.8632431,74.24516296,191.4655304,74.22370911,3.061304092,74.20352173,62.7944603,
75.0008316,138.6115265,75.02149963,2.374477625,75.04249573,66.23288727,75.10785675,130.8769226,75.08750153,3.500869036,75.06654358,68.55168152,75.1344986,135.7697449,75.15576935,2.697897434,75.17668152,70.16031647,75.24193573,191.2165985,75.22132874,2.860585213,75.20116425,61.9280014,
76.0008316,141.1225739,76.0214386,2.582182169,76.04235077,68.04000092,76.10849762,129.5614929,76.0874176,3.792416811,76.06703949,69.91988373,76.13475037,133.2895203,76.15599823,2.557664871,76.17618561,71.33868408,76.24404144,190.5290527,76.22368622,3.05786109,76.2026825,61.96878433,
77.0008316,139.0110626,77.02217102,2.587817669,77.04268646,67.75390625,77.10916138,131.8676147,77.08799744,3.71279335,77.06691742,70.29640961,77.13549805,135.39711,77.15602112,2.729559898,77.17668152,71.99938965,77.24304199,190.1374207,77.22183228,3.280541182,77.20054626,60.80303192,
78.0008316,137.8625946,78.02171326,2.549750805,78.04283142,67.26944733,78.1108551,131.9476929,78.08983612,3.611446142,78.06937408,70.87043762,78.13485718,133.5671082,78.1566925,2.601419687,78.17749786,71.00884247,78.2436676,186.2706604,78.22237396,3.148629427,78.20201874,61.27193832,
