Sample E1,,Sample E2,,Sample E3,,Sample F1,,Sample F2,,Sample F3,,Sample G1,,Sample G2,,Sample G3,,Sample H1,,Sample H2,,Sample H3,,
Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),
13.00083351,36.05269623,13.02125072,8.811844826,13.041646,274.1075134,13.11041641,32.34064484,13.08918762,11.78892517,13.06799984,265.7245483,13.13497925,32.54664612,13.15564537,7.925806522,13.17650032,246.9568481,13.24485397,105.9514618,13.22366619,12.41140556,13.20283318,254.1514893,
14.00083351,35.45643997,14.0206461,9.490900993,14.04224968,268.3554688,14.10997963,32.37503815,14.08981228,11.13954258,14.06847954,266.699707,14.13514614,31.98035812,14.15616703,7.770534992,14.17631245,242.5403595,14.24347973,108.7616272,14.22235394,13.65964699,14.20102119,251.8166046,
15.00083351,35.8439064,15.0206461,9.292149544,15.04114628,266.4608459,15.10983372,33.93354797,15.0884161,11.81019211,15.06766701,269.9043579,15.13416672,33.6230011,15.15533352,7.887174606,15.1755209,253.8256683,15.24258327,109.8176498,15.22208309,12.62578678,15.2007494,256.4404297,
16.00083351,35.39035797,16.02147865,8.713238716,16.04208374,269.8223877,16.11064529,34.43602753,16.08925056,12.21592236,16.06881142,269.3712158,16.13533401,30.8123703,16.15564537,8.193452835,16.17647934,246.1463165,16.24283409,111.3238297,16.22216606,12.99240208,16.2012291,250.9083405,
17.00083351,35.32352448,17.02064705,8.924959183,17.04114532,272.5720825,17.10931206,33.48738861,17.08831215,11.7192421,17.06783295,265.6231384,17.13574982,31.54776192,17.15681076,8.266029358,17.17797852,248.6105042,17.2456665,112.6991501,17.22416496,12.94030762,17.20383263,248.745636,
18.00083351,35.32121277,18.0218544,9.011658669,18.04235458,265.596405,18.11097908,34.06739807,18.09039497,11.39765263,18.06908417,268.3935547,18.13764572,31.96485329,18.15881348,7.976149082,18.1794796,252.4778595,18.2456665,116.2117691,18.2249794,12.45757484,18.20433426,251.4283905,
19.00083351,35.60163498,19.02097893,9.137414932,19.04131317,263.9568787,19.109478,33.05495071,19.08874893,11.53567028,19.06716728,272.881073,19.1356678,31.95071602,19.15683365,7.60479784,19.17733383,250.7195129,19.24541664,118.7393265,19.2243557,12.75955582,19.20406342,250.7771912,
20.00083351,35.11390305,20.02133369,9.129117012,20.04252052,272.7693787,20.10864639,34.28961563,20.08833504,11.61116028,20.06702042,269.254303,20.13535309,31.5713768,20.15568924,8.430747986,20.17700005,252.4371796,20.24585342,121.2849884,20.22451973,13.60031128,20.20356178,253.0261536,
21.00083351,34.82637024,21.02083397,9.170883179,21.04214668,270.2957153,21.11066628,33.921772,21.08966637,11.52569389,21.06850052,276.3144531,21.13652229,32.52848053,21.15718842,8.126523018,21.17856216,249.4417572,21.24483299,125.9985275,21.22385406,13.11806202,21.20266724,248.1689148,
22.00083351,35.04216003,22.02239609,9.531386375,22.04289627,268.9261169,22.11108398,32.31516266,22.09014511,10.99394131,22.06947899,276.6390991,22.13797951,32.32051086,22.15881348,8.739731789,22.17914581,252.5488434,22.24783325,129.2858734,22.22699928,12.8966465,22.20583344,255.2598419,
23.00083351,35.20806122,23.02181244,8.870762825,23.04214668,267.7900391,23.1099987,33.89035416,23.08983421,11.63576221,23.06833267,278.5412598,23.13668823,32.16828918,23.15722847,7.586398602,23.17768669,248.3746796,23.24597931,131.1657104,23.22564507,12.56275463,23.20425034,244.0805359,
24.00083351,36.15578461,24.02150154,9.168987274,24.0426445,268.6582336,24.10897827,33.38850021,24.08831215,11.41827393,24.06666756,263.9343872,24.13364601,32.1328392,24.15398026,7.986898422,24.17531395,248.7402649,24.24264526,131.2604523,24.22197914,12.84475613,24.20114517,241.0303955,
25.00083351,35.95220184,25.02108383,9.470659256,25.04189682,266.0942078,25.10985565,35.4932251,25.0894165,11.28845501,25.06881332,270.7234497,25.13508224,31.71952057,25.15585327,8.342819214,25.17618752,243.3463135,25.24431229,127.7072144,25.22397804,13.74733353,25.20281219,242.4266052,
26.00083351,34.91893005,26.0204792,9.314299583,26.04147911,269.1575928,26.10925102,34.29558182,26.08847809,11.45616531,26.06797981,263.2630615,26.13549995,31.28956223,26.15631294,7.374235153,26.17681313,242.9726868,26.24531174,137.4975739,26.22431183,13.15664959,26.20297813,245.4591064,
27.00083351,34.48002625,27.02172852,9.358714104,27.04239464,270.2386169,27.11081314,33.88173676,27.08931351,11.74815369,27.06897926,269.9997864,27.13647842,32.39448929,27.15681076,8.295642853,27.17797852,243.2766113,27.24381256,134.518158,27.2229805,13.3557415,27.20214653,244.6472015,
28.00083351,34.28726196,28.02164459,9.59172821,28.04198074,265.0005493,28.11050034,34.27075195,28.08933258,11.27315712,28.0688343,263.5305481,28.13689613,31.83927727,28.15739632,7.992097378,28.17802048,245.974472,28.24681282,134.174408,28.22574997,12.35425282,28.20491791,245.3066559,
