Sample A10,,Sample A11,,Sample A12,,Sample B10,,Sample B11,,Sample B12,,Sample C10,,Sample C11,,Sample C12,,Sample D10,,Sample D11,,Sample D12,,Sample E10,,Sample E11,,Sample E12,,Sample F10,,Sample F11,,Sample F12,,Sample G10,,Sample G11,,Sample G12,,Sample H10,,Sample H11,,Sample H12,,
Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),
32.00083542,54.21516418,32.02125168,9.119953156,32.04241562,274.9894104,32.11022949,52.68631363,32.08929062,7.786997795,32.06898117,301.0722351,32.13679123,53.35613251,32.15739441,8.063941956,32.17845917,303.3512573,32.24520874,96.20178223,32.22422791,8.902667999,32.20370865,280.3048401,32.26954269,54.83006287,32.29020691,7.785179615,32.31070709,273.9851379,32.37908173,55.38486481,32.35841751,8.31965065,32.33691788,290.4335327,32.40375137,57.11462784,32.42424774,7.484087944,32.44558334,281.9295654,32.51354218,113.2651672,32.49271011,7.468064785,32.47204208,276.9873962,
33.00083542,54.66414261,33.02156067,9.592364311,33.04206467,278.67276,33.11008453,54.8200264,33.08912659,8.804437637,33.06845856,308.5360718,33.13637543,54.09402084,33.15739441,7.56905365,33.17787552,306.2500916,33.24623108,95.92204285,33.22481155,8.429154396,33.20423126,269.2835083,33.27262497,55.58633423,33.29375076,7.994533539,33.31456375,276.8945618,33.38256073,57.35030746,33.36141586,7.805915356,33.34112549,289.9179382,33.40858459,55.60706711,33.42941666,7.375078678,33.45075226,270.6104126,33.51873016,110.583313,33.49754333,7.930334568,33.47654343,274.5283203,
34.00083542,53.66912842,34.02172852,9.046368599,34.04220963,280.39328,34.10858536,53.79573441,34.08723068,8.196975708,34.06606293,311.0767212,34.13295746,51.96200562,34.15429306,8.219563484,34.17522812,299.3030701,34.2431221,98.82946777,34.22208405,7.637600422,34.20096207,272.7966919,34.26954269,54.93512344,34.29087448,8.049685478,34.31129074,284.4029236,34.37920761,53.48857498,34.3587265,7.617776871,34.3380394,286.2099915,34.40620804,56.00510025,34.42656326,7.486357212,34.4475441,278.3266602,34.51506424,108.1305389,34.49489594,7.979438782,34.4733963,278.6508789,
35.00083542,51.32633209,35.02204132,9.492711067,35.04270935,275.1887817,35.10906219,53.37787247,35.0880394,8.447356224,35.06672668,308.8742981,35.1332283,53.80809784,35.15439606,7.654092312,35.17489243,303.3245544,35.24272919,98.30348969,35.222229,8.485049248,35.20172882,279.1321411,35.26904297,57.27133179,35.28937531,8.441019058,35.31054306,276.2788086,35.37922668,54.76875305,35.35795975,7.754703999,35.3368988,289.3131409,35.40547943,55.12949753,35.42687607,7.739078045,35.44737625,278.1444092,35.51589584,109.3889389,35.49489594,8.086253166,35.47389603,282.566864,
36.00083542,52.47582245,36.02122879,9.567332268,36.04170609,279.3939819,36.11008453,53.7056427,36.08906174,7.841991425,36.06822968,302.7755432,36.13431549,55.10924911,36.15612411,8.716028214,36.1766243,299.8040466,36.24262619,101.4534073,36.22195816,9.052178383,36.20081329,277.1014404,36.26921082,57.45493317,36.28987503,8.165789604,36.31131363,280.7131653,36.37706375,54.52967453,36.35639572,8.351314545,36.33520889,283.2410583,36.40354156,54.88227463,36.42464447,7.49394083,36.44604111,276.2958069,36.51253891,107.2279205,36.49087143,8.391718864,36.47053909,276.4572754,
37.00083542,53.4727478,37.02139664,9.098316193,37.04224777,276.2644043,37.11037445,54.59719467,37.09020996,8.437113762,37.06921005,298.4822998,37.13554382,53.87086487,37.15620804,8.103934288,37.17656326,300.6831055,37.24520493,101.0504608,37.22404099,8.260314941,37.20287704,277.9738159,37.26987457,57.10970688,37.29006195,8.543602943,37.31071091,278.4835815,37.3794136,55.18809128,37.35839462,7.817671776,37.33722687,294.9085693,37.40604401,55.91267776,37.42687607,6.666025162,37.44737625,277.17099,37.51606369,108.4332581,37.4947319,8.490979195,37.47406387,280.5123901,
38.00083542,54.04508209,38.02122879,9.445635796,38.04220963,279.6799927,38.10941696,52.55723572,38.08854294,8.052016258,38.06789398,301.2273865,38.13570786,53.32303238,38.15673065,8.387783051,38.17739487,304.1555481,38.24605942,100.9588394,38.22524643,8.902622223,38.20375061,280.0677795,38.2712059,56.56654739,38.29137421,8.130476952,38.31248093,276.942688,38.38089752,54.5471344,38.359375,7.589053154,38.33856201,290.1584473,38.40691757,55.42530441,38.4275856,8.105867386,38.44824982,271.341156,38.51664734,111.1137772,38.4955864,7.877138615,38.47512436,272.3936462,
39.00083542,54.57270432,39.02187347,9.385288239,39.04262543,273.5663452,39.11106491,54.72826004,39.08987808,8.792428017,39.06939697,303.6857605,39.13520813,55.06587219,39.15620804,8.07304287,39.17654037,303.6905212,39.24547958,102.4104538,39.22414398,8.467923164,39.203125,277.7409973,39.2712059,57.26711655,39.29220963,8.368755341,39.31296158,274.0871277,39.38220978,56.90067673,39.36106491,8.138656616,39.34020996,291.848938,39.40820694,57.26386642,39.42954254,7.695690155,39.45020676,274.4735413,39.51591873,108.5029373,39.49479294,8.748434067,39.47470856,275.9198608,
40.00083542,52.69047546,40.0215416,9.281757355,40.04237366,281.9458008,40.11021042,52.93738556,40.08987808,9.13134861,40.06854248,302.5147705,40.13658524,53.7959137,40.15745926,8.726649284,40.17708206,300.4786987,40.2458725,101.5747757,40.22455978,8.345355034,40.20370865,275.3389282,40.27181244,54.91519928,40.29262543,8.188605309,40.31306076,278.3326721,40.3818779,55.04291916,40.36106491,7.692064285,40.34004211,291.760376,40.40589523,55.57986069,40.42723083,7.010587215,40.4474144,269.0526428,40.51430893,106.9984894,40.49364471,8.990718842,40.47245789,276.3041992,
41.00083542,54.23934555,41.02072906,10.32328892,41.04206085,279.3725891,41.10845947,54.29640198,41.08712387,8.579152107,41.06591797,304.9438782,41.13456345,55.5490036,41.15558243,7.644398689,41.17591476,300.3534241,41.24404144,99.12747192,41.22354507,8.680887222,41.20220947,282.098938,41.27056122,54.21220398,41.29106522,7.788490772,41.31239319,273.0944519,41.37908554,55.74066925,41.35762405,7.548098564,41.33623123,289.3744202,41.40554047,54.85946274,41.42631531,7.44884634,41.44770813,270.9204407,41.51506424,104.1387558,41.49439621,9.956928253,41.47337723,276.2750549,
42.00083542,51.57897949,42.02189636,9.828805923,42.04220963,274.1095886,42.11037445,54.69580841,42.08989716,8.540043831,42.06854248,299.7058411,42.13695908,53.19647598,42.15806198,7.201703072,42.17906189,305.6072083,42.24414444,103.0530777,42.22391891,8.554932594,42.20295715,278.1523438,42.27104187,56.09655762,42.29220963,7.711784363,42.31254196,284.2436218,42.38139725,56.12085724,42.35987473,7.972129822,42.33906174,286.1459961,42.40791702,53.69422531,42.42856598,7.547020912,42.44906235,274.4361267,42.51706314,106.3871689,42.49670792,9.30318737,42.47570801,274.9230347,
