Sample A1,,Sample A2,,Sample A3,,Sample A4,,Sample B1,,Sample B2,,Sample B3,,Sample B4,,Sample C1,,Sample C2,,Sample C3,,Sample C4,,Sample D1,,Sample D2,,Sample D3,,Sample D4,,Sample E1,,Sample E2,,Sample E3,,Sample E4,,Sample F1,,Sample F2,,Sample F3,,Sample F4,,
Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),
13.00083351,6.785365105,13.02045822,5.980246067,13.041646,9.560785294,13.06214619,13.89682579,13.15137577,12.37669563,13.13114643,9.2955513,13.1099577,48.70041275,13.08862495,80.56920624,13.1777916,17.77387047,13.19881248,10.45793056,13.21987534,18.63484573,13.24095821,22.68604851,13.33020878,14.44159126,13.30897903,11.85760307,13.2883749,117.9679947,13.267313,129.9261627,13.35464573,53.4737854,13.37547874,41.47917938,13.39670849,53.4704361,13.41729164,60.55799484,13.5067091,15.39268303,13.48504162,15.24061966,13.46466637,72.09663391,13.4434576,75.31239319,
14.00083351,7.30197382,14.02045822,6.514153004,14.04181194,11.19523239,14.06199932,14.52346516,14.15229225,11.10840893,14.1312294,10.20820427,14.10949993,51.6067009,14.08929157,84.77716064,14.17679119,17.76691437,14.19781303,11.70582294,14.21881199,18.84137344,14.23914623,22.97522545,14.32864571,14.57405281,14.30766678,13.10567093,14.28697872,119.0476227,14.26600075,134.5084076,14.35499954,52.19824219,14.37639523,41.33375931,14.39712524,54.69697952,14.41756248,61.96504593,14.50647926,16.34726715,14.48597908,13.27518082,14.46547985,75.32487488,14.44429111,73.36683655,
15.00083351,7.099444389,15.0216465,5.860387802,15.0421257,11.06385231,15.06312466,13.28464031,15.1515007,11.4245491,15.13097954,10.6573782,15.11031246,49.97664642,15.08931255,86.69360352,15.17781258,16.00063896,15.19887447,11.57240772,15.21979141,19.24608803,15.24079227,22.4983654,15.32779121,13.78214359,15.3069582,12.96992493,15.28579235,118.2746582,15.2650423,133.0987091,15.35247898,50.48456955,15.37297916,43.24766541,15.39364624,55.89175415,15.41450024,65.04151917,15.50366592,17.64501762,15.48297977,13.6031065,15.46179199,74.26822662,15.44079208,80.80860138,
16.00083351,6.309148312,16.02045822,5.701788902,16.04112625,10.74695301,16.06247902,14.32633686,16.14929199,10.5386095,16.12804222,10.33242226,16.1074791,53.92430115,16.08650017,84.77536011,16.17554092,17.4700222,16.1967907,11.67325211,16.21714592,17.67427254,16.23737526,22.39653397,16.32589531,15.00457001,16.30472946,11.46981621,16.28412437,124.152153,16.26364517,142.7711639,16.35147858,50.39509964,16.37281227,42.94859695,16.3934803,56.9010582,16.41454124,63.86378479,16.5014782,16.37762451,16.48014641,15.44321537,16.45979118,77.00222778,16.439291,81.21746826,
17.00083351,6.161379814,17.02122879,6.325566769,17.04187584,11.06793499,17.06245804,13.96640682,17.15116501,12.45134163,17.12972832,8.76307869,17.10912514,53.94157791,17.0888958,85.9803772,17.17579079,17.76330185,17.19629097,12.39199924,17.21666718,19.40095329,17.237957,23.69847107,17.32579231,15.11849976,17.30512428,12.6678009,17.28462601,122.9115295,17.26420975,133.1665497,17.35254097,47.82678604,17.37320709,43.06117249,17.39429092,56.61592865,17.414814,64.02422333,17.50166702,14.51162815,17.48047829,14.20521545,17.46012497,73.32701111,17.43962479,82.27507782,
18.00083351,6.896916389,18.0219593,5.482918739,18.04245758,10.66350746,18.06281281,13.91060543,18.15206337,11.2237606,18.13081169,10.61543274,18.11029243,53.57678223,18.08979034,84.81838989,18.17814445,16.23978424,18.19916534,11.13357639,18.22029305,18.99864769,18.24079132,22.22100258,18.32881355,13.75678444,18.30847931,11.43994617,18.28745842,130.8875732,18.26706314,134.8879547,18.35372925,48.57346725,18.3752079,43.29987335,18.39556313,57.95903015,18.41662598,65.14442444,18.50331306,16.53289223,18.48245811,13.97977352,18.46206284,72.74294281,18.44137573,83.14142609,
19.00083351,7.79121685,19.02199936,5.321369171,19.04245758,13.02243519,19.06347847,12.8903265,19.15179253,11.61924171,19.13062477,9.875505447,19.10995865,51.40501785,19.08929253,82.84101105,19.17829132,18.76846886,19.19862556,10.52048683,19.21981239,20.64088249,19.24087524,22.51733589,19.328125,16.56509209,19.30706215,11.24927616,19.28600121,121.7056274,19.26495743,134.5256348,19.35372925,54.33544922,19.37512398,41.2937851,19.39545822,54.71378326,19.4168129,65.65670013,19.50366592,15.5781908,19.48281288,16.03388596,19.46179199,74.79511261,19.44145966,84.84616852,
20.00083351,6.745012283,20.02179146,5.628757477,20.04297829,11.23507881,20.06316757,14.24273872,20.15097809,11.89966869,20.13012505,9.17848587,20.10970879,53.19726563,20.08931351,87.12021637,20.17745781,16.70555687,20.19764519,12.56421852,20.21814537,18.75913239,20.23937607,21.86284065,20.32831192,14.7395916,20.30762482,12.51759815,20.28712654,122.8492584,20.2658329,137.6511688,20.35245705,49.63737869,20.37364578,42.71670914,20.39433479,53.52090836,20.41556168,59.84049606,20.50233269,16.15172195,20.48099899,14.70079994,20.46081352,74.17164612,20.43962479,88.13616943,
21.00083351,6.750039101,21.02097893,4.958677769,21.04216766,11.75495815,21.06264687,14.05583763,21.15206337,11.57629681,21.13056183,9.70673275,21.11004257,55.47783279,21.08933258,82.14653778,21.17833328,17.32224846,21.1988945,12.04127026,21.21995926,20.38572121,21.24062538,22.54445076,21.32954025,15.16545391,21.30831337,12.14291286,21.28798103,118.7026291,21.26695824,140.9127502,21.35531235,49.56760406,21.37614632,42.19178009,21.39662552,55.75680923,21.41804123,62.6772728,21.50533295,16.07538795,21.48414421,13.34548187,21.46347809,73.74039459,21.44239426,80.92713165,
22.00083351,6.179007053,22.02062607,5.686672211,22.04112625,11.9108572,22.0622921,14.59111881,22.1506443,11.7217474,22.13062477,10.04903984,22.109375,54.07791901,22.08831215,86.02701569,22.17733383,17.07834625,22.19762611,11.91484833,22.21814537,20.75308609,22.23897934,23.12347221,22.32837486,15.91022873,22.30716705,13.51173019,22.28597832,122.1786194,22.265625,134.1915588,22.35464668,49.13877869,22.37531281,42.7634201,22.39562607,56.70761108,22.41679001,60.60279846,22.50381279,17.20545006,22.48245811,13.74515724,22.46154213,73.91519165,22.44131279,86.9752655,
23.00083351,6.545153618,23.02248001,4.680145741,23.04304123,11.41595554,23.06345749,15.04500198,23.1529789,12.47747517,23.13170815,10.07844734,23.11114502,56.7352562,23.0904789,85.03568268,23.17929077,18.75165367,23.19962502,12.38040066,23.22081375,19.52558136,23.24206352,22.57066917,23.33047867,15.73699379,23.31012535,12.11822414,23.28887558,119.0245972,23.26781273,134.3860168,23.35437393,49.86494446,23.37531281,41.42011642,23.39631271,53.75767517,23.41664696,64.62489319,23.50589561,17.34941101,23.4849987,14.33443451,23.46431351,73.35233307,23.44306183,84.31607056,
24.00083351,6.547587872,24.02070999,5.629984856,24.04162598,11.85333443,24.06212616,14.14194202,24.15179253,12.86928368,24.13045883,9.335105896,24.10929108,58.37487411,24.08887482,85.95989227,24.17764473,17.20446968,24.19895744,11.24244881,24.21945763,19.15610123,24.23995781,21.27488518,24.32862473,14.87997341,24.30762482,12.81410408,24.28731346,121.1761932,24.26612473,144.1662445,24.3550415,49.93706512,24.37572861,40.56205368,24.39629173,54.40475845,24.41712379,60.70721054,24.50579262,16.86869812,24.48531342,14.68319511,24.46404266,71.13554382,24.44350052,81.19998169,
25.00083351,8.565367699,25.02145767,5.074087143,25.04195786,10.42287922,25.06233406,15.26777935,25.15045738,11.76406956,25.12906265,9.358429909,25.1086235,58.55431747,25.08756256,90.50204468,25.17529106,19.03006172,25.19529152,10.83303165,25.21649933,18.19182777,25.23745918,22.8403492,25.32331276,16.25197411,25.30262375,12.70210934,25.28204155,128.2389832,25.26181221,138.8006592,25.35045815,49.52101898,25.37064552,38.27001953,25.39183426,54.74087906,25.41281319,61.07671356,25.50114632,15.96144772,25.48073006,14.89118004,25.45949936,75.86300659,25.43883324,83.04688263,
26.00083351,7.327471256,26.02095795,5.652674675,26.04114532,11.21799183,26.06216621,15.12420654,26.14881134,12.4086628,26.12762451,9.247594833,26.10664749,56.17498016,26.08612442,88.36119843,26.17433357,16.52538872,26.19595718,11.8707943,26.21631241,19.26329231,26.23670769,23.36949539,26.32614517,15.64730167,26.30514526,13.12587452,26.2840004,127.6399918,26.26314545,141.0635071,26.35229111,49.90041351,26.37264633,42.2550354,26.39316559,58.05141068,26.41462326,61.62768936,26.50279045,17.24635124,26.48212433,14.30445862,26.46204185,74.42256165,26.44089508,79.75330353,
