Sample A1_Ex465_Em530,,Sample A1_Ex465_Em590,,Sample A2_Ex465_Em530,,Sample A2_Ex465_Em590,,
Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),
24.00833321,43.968853,24.02722931,210.6895905,24.06258392,57.44522476,24.08150101,144.9117126,
24.50833321,43.80955505,24.52722931,208.6389618,24.56274986,57.53982544,24.58166695,145.9840698,
25.00833321,43.60330582,25.02722931,211.0839996,25.06274986,57.29668045,25.08166695,144.8240814,
25.50833321,43.51293182,25.52722931,208.9970856,25.56316757,57.01609802,25.58206177,144.5344238,
26.00833321,43.28227234,26.02722931,211.0651855,26.06274986,57.75018692,26.08166695,144.9451752,
26.50833321,43.91505051,26.52722931,209.838501,26.56341743,57.88493347,26.58233261,145.7350616,
27.00833321,44.21088028,27.02722931,211.9848785,27.0640831,58.013237,27.08300018,145.2586975,
27.50833321,44.07566452,27.52722931,210.5857086,27.56147957,57.72402573,27.58039474,145.2854156,
28.00833321,43.5807991,28.02722931,209.6617584,28.06256294,57.48649979,28.08148003,144.8005219,
28.50833321,43.53953171,28.52722931,209.524765,28.56362534,58.04386902,28.58254242,143.9591522,
29.00833321,43.69702148,29.02725029,209.6190796,29.0640831,57.69184875,29.08300018,143.5010986,
29.50833321,43.73397827,29.52722931,210.4524536,29.56358147,58.08903122,29.58249855,144.6260071,
30.00833321,44.06619263,30.02722931,211.9410248,30.0609169,57.65266037,30.07983398,143.5706177,
30.50833321,43.88904572,30.52722931,208.9332275,30.56306076,58.14947128,30.58197784,143.8487396,
31.00833321,43.71692657,31.02722931,210.5179749,31.06424904,58.27289963,31.08320999,144.2951202,
31.50833321,43.74449539,31.52722931,211.5793152,31.56225014,57.9156456,31.58116722,142.6398468,
32.00833511,43.69005966,32.02722931,211.0614624,32.06258392,58.15548325,32.08150101,143.3911743,
32.50833511,43.98198318,32.52722931,210.3210144,32.56441498,58.32501984,32.58333206,143.6707916,
33.00833511,43.50665283,33.02722931,208.9231873,33.06275177,58.32886505,33.08166885,142.6534576,
33.50833511,43.77746582,33.52722931,210.3592072,33.56475067,58.46185684,33.58366776,143.6361694,
34.00833511,44.11011124,34.02722931,209.1655121,34.0629158,58.71717834,34.08183289,143.2637939,
34.50833511,43.74912643,34.52722931,209.8260193,34.56339645,58.56014633,34.58231354,142.9556427,
35.00833511,43.85544205,35.02722931,210.9155273,35.06349945,58.37121964,35.08239746,143.936554,
35.50833511,43.95871735,35.52722931,210.3758392,35.56296158,58.44365692,35.58187485,142.6737061,
36.00833511,43.66578293,36.02722931,210.4927673,36.06391525,58.28989792,36.08283234,143.2281799,
36.50833511,44.06500626,36.52722931,209.1109314,36.5634613,58.15831757,36.58237457,142.7055817,
37.00833511,43.86366272,37.02722931,211.7273102,37.06341553,58.62018204,37.08233261,142.5026855,
37.50833511,43.85651398,37.52722931,209.8831635,37.56274796,58.25017929,37.58166504,143.1016388,
38.00833511,44.35827637,38.02722931,210.1169281,38.06274796,58.24842834,38.08166504,143.2016296,
38.50833511,43.33137512,38.52722931,210.0561066,38.56391525,58.70440292,38.58283234,142.7296448,
39.00833511,44.06509018,39.02722931,210.4570313,39.06298065,58.47531891,39.08189774,143.59758,
39.50833511,44.00161362,39.52722931,209.8872986,39.56258011,58.16356277,39.58149719,142.3018036,
40.00833511,44.07127762,40.02722931,210.5223999,40.06296158,58.4118309,40.08187485,143.6717682,
40.50833511,44.1502037,40.52722931,208.993988,40.56108475,58.8560791,40.58000183,142.8046417,
41.00833511,43.94755554,41.02722931,208.421463,41.06383514,58.61769485,41.08272934,141.5846558,
41.50833511,43.65314102,41.52722931,209.4367828,41.56425095,58.7752533,41.58316803,142.1678009,
42.00833511,43.90717697,42.02722931,209.8501892,42.06362152,58.74251556,42.0825386,142.5593109,
42.50833511,43.88853455,42.52722931,208.7764282,42.56322861,58.18582916,42.58214569,140.4745026,
43.00833511,43.81918335,43.02722931,209.6791382,43.06266785,58.40578079,43.08156204,141.3927612,
43.50833511,44.2792244,43.52722931,208.3161316,43.56316757,58.61605072,43.58206558,141.8959198,
44.00833511,44.33963013,44.02722931,208.3988953,44.06274796,58.29251862,44.08166504,142.0536804,
44.50833511,43.77654266,44.52722931,208.1635284,44.5629158,58.58244705,44.58183289,141.6171417,
45.00833511,43.92137527,45.02722931,210.641983,45.06308365,58.40565109,45.08199692,140.5774384,
45.50833511,44.15829086,45.52722931,209.7943878,45.5629158,58.55218506,45.58183289,141.5870361,
46.00833511,43.66868591,46.02722931,208.9133301,46.06329346,58.89404297,46.08221054,141.713562,
46.50833511,43.80491257,46.52722931,209.9659729,46.5631485,58.74939728,46.58206558,140.8504181,
47.00833511,43.36173248,47.02722931,207.2039948,47.06274796,58.90135574,47.08166504,140.6133423,
47.50833511,43.74849701,47.52722931,209.0878906,47.56225204,58.57502365,47.58116913,140.151886,
48.00833511,43.94052124,48.02722931,207.0477448,48.06229401,58.64325714,48.08121109,140.8187408,
48.50833511,43.81577301,48.52722931,207.6883698,48.56356049,58.68652725,48.58247757,139.5041809,
49.00833511,43.47889709,49.02722931,208.0163574,49.06329346,59.09888458,49.08221054,138.8217621,
49.50833511,43.93284988,49.52722931,207.7212372,49.56262589,58.60481644,49.58154297,139.3417816,
50.00833511,43.74916458,50.02724838,207.6639099,50.06362152,58.54813004,50.0825386,140.4608765,
50.50833511,43.85147476,50.52722931,207.9402008,50.5631485,58.66829681,50.58206558,140.6158295,
51.00833511,43.51993179,51.02722931,206.421875,51.06241989,58.12255859,51.08133316,139.2544708,
51.50833511,43.28159332,51.52722931,207.0081177,51.56358337,58.69469452,51.58250046,140.0977478,
52.00833511,43.21333313,52.02724838,207.9762421,52.0643959,58.37226105,52.08333206,139.4319153,
52.50833511,43.50569534,52.52722931,205.1988373,52.56308365,58.68686676,52.58199692,139.8816223,
53.00833511,43.42329025,53.02722931,205.7395477,53.0640831,58.3250351,53.08300018,138.3035278,
53.50833511,43.02989578,53.52722931,205.1437836,53.56322861,58.26820755,53.58214569,138.461731,
54.00833511,43.64252853,54.02722931,203.8410492,54.06258011,58.24854279,54.08149719,137.6321259,
54.50833511,43.09272385,54.52722931,202.4560547,54.56279373,58.21179199,54.58171082,137.8228149,
55.00833511,42.96630096,55.02722931,204.5423279,55.06241989,58.36911774,55.08133316,137.5801849,
55.50833511,43.1207962,55.52722931,205.0652313,55.56331253,58.5479126,55.58222961,138.6426849,
