Sample A1,,Sample A2,,Sample A3,,Sample A4,,Sample A5,,Sample A6,,Sample A7,,Sample A8,,Sample B1,,Sample B2,,Sample B3,,Sample B4,,Sample B5,,Sample B6,,Sample B7,,Sample B8,,Sample C1,,Sample C2,,Sample C3,,Sample C4,,Sample C5,,Sample C6,,Sample C7,,Sample C8,,
Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),
19.00083351,121.8457565,19.02116776,21.60263634,19.0418129,24.12635612,19.06283379,19.82016182,19.0840416,202.3816681,19.10429001,109.6118011,19.12495995,23.28954315,19.14629173,43.35895157,19.31845856,145.0202026,19.29795647,23.37934685,19.27662468,26.9881382,19.25556183,23.67297935,19.23429108,137.161026,19.21322823,110.0136566,19.19220734,78.16663361,19.17172813,47.00149918,19.34454155,112.3985291,19.36566544,26.43682289,19.38681221,33.42680359,19.40733147,31.55393219,19.42845917,128.8874512,19.44948006,95.58306122,19.46970749,80.53618622,19.49104118,43.56748581,
20.00083351,120.8785782,20.02079201,21.91155243,20.04195786,24.27541542,20.06197929,20.29784584,20.08362389,198.2680969,20.10412598,110.2118759,20.12529182,23.90115547,20.14562607,43.41136932,20.31779099,144.9964447,20.29745865,22.34663773,20.27631187,26.65835571,20.2549572,23.68336678,20.23479271,137.1768341,20.21347809,113.1679535,20.19289589,80.22045135,20.17162514,47.09557343,20.34416771,110.7294769,20.36483383,26.80020332,20.38595772,33.21723557,20.40637398,30.38766861,20.42781258,129.645874,20.44897842,97.63531494,20.46916771,82.15476227,20.49039459,42.4313736,
21.00083351,122.8822861,21.02033234,20.76596069,21.04137611,24.21857452,21.06262398,20.07591248,21.08295822,204.9383392,21.10397911,111.3947678,21.12481308,23.18974304,21.14566612,43.4850235,21.31812477,143.6479797,21.29645729,23.01102448,21.2762928,27.60834694,21.2549572,23.97150612,21.23462486,134.4407043,21.21337509,113.6044006,21.1924572,78.30662537,21.17181206,45.98629379,21.34366608,111.7302933,21.36429214,25.7901268,21.38533401,33.75688171,21.40595818,30.21133423,21.42645836,131.8803558,21.44697952,97.41746521,21.46804237,82.6800766,21.48845863,41.95157623,
22.00083351,122.3903122,22.02266693,21.22702789,22.04299927,24.19423103,22.06420898,20.04607773,22.08529282,202.7151947,22.10631371,110.3120728,22.12679291,23.16905785,22.14795685,43.78277588,22.31962395,142.5625458,22.2984581,22.24403,22.2779789,27.74797821,22.25779152,22.97822571,22.23679161,136.0132751,22.21637535,112.9616547,22.19556236,81.54553223,22.17416573,46.91647339,22.34531212,109.4766312,22.36662674,26.31453514,22.38681221,33.18238068,22.40797997,30.98150444,22.42847824,131.0713501,22.44966698,97.8217392,22.47072983,82.70575714,22.49145889,41.1684494,
23.00083351,121.0523758,23.02129173,21.2157135,23.04164696,24.40000534,23.06287384,19.56303215,23.08395767,204.7624359,23.10416603,113.1353455,23.12481308,23.13764954,23.14606285,42.97654724,23.31795883,142.7097015,23.29662514,22.23588181,23.27633286,27.33293152,23.25514603,23.61030579,23.23412514,138.9783478,23.21383286,112.0450516,23.19331169,80.68212891,23.17231178,46.8721962,23.34183311,108.018074,23.362957,26.83912277,23.38381386,34.73989868,23.4046669,30.72066116,23.4260006,132.0643158,23.44712448,94.81900787,23.46762466,82.95014954,23.48781395,41.78926849,
24.00083351,119.4887085,24.02029228,20.83748436,24.04097939,24.78102303,24.06200027,20.20508385,24.08295822,202.8380737,24.1031456,114.136734,24.12464523,23.7355938,24.14531326,42.05015564,24.31781197,143.044693,24.29656219,22.14013481,24.27583504,27.30672836,24.25448036,23.11562538,24.23397827,140.4044342,24.21331215,112.2922287,24.19212532,82.14669037,24.17129135,46.55998611,24.34333229,105.0788116,24.36431313,26.00783348,24.38531303,33.69433212,24.40579224,30.79949951,24.42697906,131.5260925,24.44737625,96.68247223,24.46845818,82.70333099,24.48889542,42.32200241,
25.00083351,119.1689835,25.02072906,21.37524986,25.04154205,24.40714073,25.06279182,19.62656975,25.08395767,206.2363129,25.10433388,115.1353836,25.12481308,23.27316475,25.14583397,41.59473038,25.31912422,141.8336182,25.29766655,22.27275467,25.27747917,26.59360504,25.25662422,24.05498314,25.23562431,140.1952972,25.21439552,110.8629303,25.1936264,82.38379669,25.17295647,46.27144241,25.34362602,107.287323,25.36381149,25.56945801,25.38514519,33.8503418,25.40570831,31.62342644,25.42695999,129.1916351,25.44745827,94.28850555,25.46781158,83.55458069,25.48831177,40.70719528,
26.00083351,116.293129,26.02045822,20.71261787,26.0409584,24.50554848,26.06214523,20.50010109,26.08249855,206.319397,26.10362625,115.0957718,26.12412453,22.95006371,26.14497948,40.88947678,26.3166256,141.2997589,26.29616737,22.70213699,26.27612495,27.41313171,26.2549572,23.5065155,26.23445892,136.4624176,26.21316719,112.0087967,26.19199944,84.7406311,26.17133331,45.63177872,26.34197998,104.0747375,26.36220932,26.41478157,26.38362503,33.22203827,26.40479088,30.73655701,26.42581177,133.9359436,26.44600105,94.53791046,26.46712494,83.86920929,26.48816681,41.52388382,
27.00083351,116.5865631,27.02014542,21.45611572,27.04112625,24.06243324,27.06162453,20.17808342,27.08249855,204.5367584,27.10356331,114.4456863,27.12431145,24.18231964,27.14481163,41.16821289,27.31762505,139.380661,27.29647827,22.42308998,27.27645874,26.99333572,27.25487518,23.73980141,27.23466682,142.0334473,27.21364594,113.8403549,27.19279099,86.26693726,27.17195892,44.67687225,27.34381294,107.2144852,27.36495781,25.9507618,27.38562393,34.18721771,27.40648079,30.08786774,27.42681313,130.9838715,27.44783401,94.40240479,27.46816635,82.55453491,27.48929214,41.16276169,
28.00083351,114.2184906,28.02181244,21.55990219,28.04247856,24.45713425,28.06354141,20.53302765,28.0844593,205.4187622,28.10497856,116.7033539,28.12631226,23.99439812,28.14699936,41.98664474,28.31929207,139.2196045,28.2981472,22.66397667,28.27795792,27.40136719,28.25673103,23.67050552,28.23633385,143.053894,28.21472931,112.1241455,28.19429207,85.29642487,28.17329025,45.82981491,28.34466743,105.7866516,28.36566544,25.42646027,28.38699913,33.59571457,28.40766525,30.35733604,28.42812538,128.7823944,28.44895744,91.77096558,28.46981239,83.71915436,28.49020767,41.40695572,
