Wavelength (nm),Intensity (a.u.),Z Axis,
,Sample A1,Sample A2,Sample A3,Sample A4,Sample A5,Sample A6,Sample A7,Sample B7,Sample B6,Sample B5,Sample B4,Sample B3,Sample B2,Sample B1,Sample C1,Sample C2,Sample C3,Sample C4,Sample C5,Sample C6,Sample C7
411.059997558594,36.3940849304199,36.5180168151855,40.488883972168,37.6975326538086,29.0453834533691,37.3490600585937,0.987792372703552,1.59302604198456,43.2254447937012,41.6845893859863,36.0875816345215,41.7548370361328,25.0108509063721,38.6045417785645,37.3378639221191,37.1208686828613,38.6056594848633,33.6992454528809,29.498405456543,34.7819595336914,2.13279938697815
411.959991455078,40.4663543701172,37.4161758422852,41.5215339660645,43.7565498352051,28.1163539886475,38.8349533081055,1.88929176330566,1.05889880657196,48.3602447509766,46.8616104125977,40.4027633666992,40.329761505127,25.0307064056396,42.0328674316406,41.2162551879883,42.2997703552246,35.4473648071289,30.7362537384033,30.22629737854,42.2479248046875,1.87102866172791
413.029998779297,44.8892097473145,42.3203010559082,46.9372978210449,44.7598686218262,31.5872211456299,46.3211631774902,1.42508137226105,1.11325943470001,46.064510345459,47.8014907836914,45.3325424194336,52.3530807495117,32.1805076599121,47.1860389709473,42.9458694458008,43.2543296813965,43.504638671875,35.054615020752,37.181079864502,44.1981811523438,1.19883549213409
413.929992675781,49.6192855834961,44.7281265258789,46.9765472412109,49.8014259338379,32.4487648010254,49.595386505127,1.56403768062592,1.79181241989136,48.6277770996094,51.1469306945801,50.0576782226562,51.1272315979004,31.0495300292969,47.1493225097656,50.488597869873,46.3955841064453,41.0152549743652,39.7459106445313,32.082576751709,47.1532325744629,1.41911065578461
415,46.6369018554687,48.9100914001465,49.983829498291,53.4983749389648,33.7621955871582,49.7424545288086,1.19211375713348,1.73560893535614,54.9839553833008,54.6777114868164,50.1483764648438,53.5040740966797,33.5312881469727,50.7146835327148,54.9322090148926,50.7239074707031,45.6708526611328,39.3508987426758,36.1065673828125,51.1938591003418,0.614250600337982
416.059997558594,50.0498008728027,55.8678932189941,49.1982078552246,57.8769836425781,37.2601356506348,52.9318084716797,0.950792074203491,1.17776966094971,56.6261329650879,53.3247566223145,55.2239761352539,58.4238204956055,37.2697410583496,52.5464477539063,51.2148590087891,50.9635734558105,48.8856925964355,35.5345916748047,36.1400718688965,46.0996017456055,0.556013226509094
416.959991455078,57.167106628418,53.5495529174805,52.179759979248,63.9724349975586,43.239875793457,55.6301193237305,0.917807102203369,1.51469254493713,58.1131629943848,61.1111106872559,56.9387245178223,57.3502807617188,38.1619415283203,59.2240180969238,56.5161209106445,52.8318290710449,53.3870849609375,41.7125968933105,36.4941558837891,63.7961921691895,1.31079065799713
418.029998779297,59.503589630127,50.6381912231445,53.0150604248047,67.0141525268555,44.9909629821777,61.7950401306152,1.20430445671082,0.899339735507965,66.2055816650391,67.0440521240234,58.1448211669922,63.1154403686523,38.3464317321777,51.4531059265137,61.7392196655273,56.3735618591309,58.668098449707,43.9508514404297,40.4785766601562,54.0958595275879,1.11248207092285
418.929992675781,56.2374992370605,59.9572105407715,55.67529296875,66.6653442382813,45.1509895324707,61.4119377136231,0.836336851119995,1.22602677345276,60.8495979309082,64.3134841918945,63.351131439209,64.4878158569336,44.1755523681641,61.6800842285156,65.6733245849609,57.450439453125,60.50341796875,49.7632827758789,43.6881942749023,63.9564170837402,0.522308588027954
420,57.9919624328613,61.0229606628418,58.7670783996582,70.9316940307617,47.1192359924316,67.8485336303711,1.09309864044189,1.08011543750763,62.8955574035645,68.2804641723633,67.2837982177734,68.6397323608398,45.6349220275879,66.1619262695313,71.9434509277344,65.9861755371094,57.212760925293,50.1390495300293,43.0726280212402,64.0862808227539,1.73388004302979
