Sample A1,,Sample A2,,Sample A3,,Sample A4,,Sample A5,,Sample A6,,Sample A7,,Sample A8,,Sample A9,,Sample A10,,
Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),
49.00083542,26.69813538,49.02106094,29.03718948,49.04191589,30.32202148,49.0631485,33.22542191,49.08337402,29.56976128,49.10439301,30.78881073,49.12529373,21.4960022,49.14572906,23.48879051,49.1671257,22.1939621,49.18754196,33.45137787,
50.00083542,22.73394012,50.02054214,27.60692024,50.04087448,30.46669769,50.06189728,37.05538559,50.08256531,26.17222023,50.1030426,27.90766716,50.12425232,24.64702797,50.14472961,20.80579567,50.16575241,18.384655,50.18641663,35.15068054,
51.00083542,25.56484604,51.02156067,30.52976036,51.04272842,32.45299149,51.06308365,32.46641922,51.08420944,31.92243004,51.10522842,28.9739418,51.12631607,22.30044174,51.14662552,22.31802559,51.16704178,20.1950531,51.18820953,32.60551834,
52.00083542,24.95923805,52.02087402,27.67518806,52.04207993,33.76598358,52.06241989,28.83723259,52.08337402,27.98117065,52.10456085,29.36836433,52.12514496,23.35752296,52.14622879,22.28991699,52.1668129,22.9284687,52.18703842,30.56409264,
53.00083542,25.46010017,53.02091599,28.54275322,53.0418129,31.45876503,53.06222916,36.46560287,53.08354187,27.31788254,53.10370636,32.28763962,53.12472916,21.10564804,53.14575195,22.5766201,53.16631317,19.08943367,53.18754196,34.40378189,
54.00083542,22.49824905,54.02141571,28.61940765,54.04248047,34.19458771,54.06304169,31.74766159,54.0840416,30.26512146,54.10489655,31.9126091,54.12612152,23.61401367,54.14639664,21.72764969,54.16756058,20.78393555,54.1884613,29.00982475,
55.00083542,23.19581413,55.02039337,29.5555439,55.04089737,36.20314407,55.06206131,31.38111496,55.08308411,30.99850845,55.10420609,31.51722717,55.12504196,25.90042496,55.14595795,22.66163063,55.16641998,20.93120384,55.18779373,32.05545044,
56.00083542,22.37856293,56.02170944,28.07017517,56.04272842,30.01341057,56.06362152,32.68588257,56.08464813,29.25525284,56.10487366,32.38965988,56.12606049,24.31039047,56.14689636,22.57682037,56.16772842,23.18016434,56.18878937,29.00136757,
57.00083542,25.04206657,57.02079391,29.17370224,57.04204178,34.66416931,57.06222916,31.10156441,57.08358002,30.91352081,57.10395813,28.39211655,57.12470627,25.9558754,57.14587402,21.43673134,57.16620636,23.66133308,57.18695831,32.67639923,
58.00083542,27.75502396,58.02095795,26.46636391,58.04204178,29.51150894,58.06237411,30.43733788,58.08345795,25.82254219,58.10387421,28.99069595,58.12489319,23.88938522,58.14604187,25.82806206,58.16622543,18.57645607,58.18645859,31.51483154,
