Sample A1_Ex465_Em530,,Sample A1_Ex465_Em590,,Sample A2_Ex465_Em530,,Sample A2_Ex465_Em590,,Sample A3_Ex465_Em530,,Sample A3_Ex465_Em590,,Sample A4_Ex465_Em530,,Sample A4_Ex465_Em590,,Sample A5_Ex465_Em530,,Sample A5_Ex465_Em590,,Sample A6_Ex465_Em530,,Sample A6_Ex465_Em590,,
Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),
65.0008316,249.3315582,65.00474548,283.7542419,65.02560425,204.0594635,65.02951813,226.2837524,65.05027008,222.2617645,65.05418396,267.0909729,65.07583618,213.7098389,65.07975006,285.8147278,65.1006012,175.6166077,65.10452271,230.0693054,65.12602234,196.9126434,65.12991333,287.368988,
66.0008316,245.2165985,66.00474548,282.4015503,66.02650452,205.3829803,66.0304184,222.5284576,66.05126953,219.6664124,66.05519104,266.9733887,66.07743835,201.960495,66.08135223,284.0639343,66.10260773,173.279892,66.10652161,235.6815186,66.12747955,202.4283447,66.13139343,293.677002,
67.0008316,247.5469971,67.00474548,282.3734131,67.02501678,201.2084656,67.02891541,223.6903534,67.05027008,747.0756836,67.05418396,376.9796143,67.07559967,210.8625946,67.07952118,286.0263062,67.10166931,171.0962372,67.10558319,238.9910126,67.12727356,198.6221161,67.13118744,291.0765991,
68.0008316,243.1930542,68.00474548,286.7479553,68.02548218,206.5713959,68.02939606,228.0829926,68.05018616,261.4077148,68.05408478,259.9204712,68.07576752,207.7913208,68.07968903,287.5108337,68.10025024,175.569458,68.10416412,232.6963959,68.12660217,203.6055603,68.13052368,299.2884216,
69.0008316,246.7065735,69.00475311,289.2289124,69.02560425,204.4649963,69.02952576,222.9020081,69.05097961,214.7863922,69.05490112,254.7995148,69.07577515,217.667923,69.07968903,293.0939636,69.10160065,174.866333,69.10551453,234.0209351,69.12683105,203.4681702,69.13075256,290.4877014,
70.0008316,252.9430084,70.00475311,288.0994873,70.02700043,209.1943817,70.03091431,221.7862701,70.0524826,202.5497284,70.05639648,245.7783356,70.07776642,211.2427063,70.08168793,281.6976929,70.10310364,177.4771881,70.10702515,241.6171112,70.12776947,201.0119781,70.13169098,306.7792664,
71.0008316,248.6992798,71.00475311,284.2635498,71.02577209,204.9279175,71.02968597,224.3786621,71.05181122,207.0431824,71.05573273,241.8296356,71.0766449,208.4337921,71.08056641,279.0812683,71.10147858,175.0924683,71.10539246,235.6048737,71.12724304,208.9893494,71.13117218,291.7980347,
72.0008316,249.315567,72.00475311,280.7824402,72.02577209,201.7819672,72.02968597,224.3681641,72.05177307,204.1660614,72.05568695,248.9226227,72.0764389,210.141449,72.08035278,286.596405,72.10260773,174.8563843,72.10652161,236.9920502,72.12752533,197.0771027,72.13141632,297.0606079,
73.0008316,250.3078613,73.00475311,279.3505859,73.02619171,203.8094482,73.0300827,222.0951538,73.05110931,206.6212311,73.05502319,238.5359802,73.0762558,213.7989044,73.08018494,282.2279663,73.10210419,175.9794312,73.1060257,238.8877258,73.12776947,204.3623352,73.13169098,300.4776917,
74.0008316,252.7518311,74.00475311,285.9452515,74.02577209,204.0813141,74.02968597,220.8093414,74.05126953,202.4140167,74.05518341,231.8549042,74.07685852,208.5452423,74.08075714,288.7910461,74.10257721,177.4806366,74.10649872,234.378067,74.12727356,206.592865,74.13118744,292.7580566,
75.0008316,245.9477692,75.00475311,279.7159729,75.02593231,207.4601898,75.02985382,224.3960419,75.05077362,200.091217,75.0546875,233.9746857,75.07660675,212.5077209,75.08052063,283.6335144,75.10093689,182.1599884,75.10485077,225.0082855,75.12560272,205.1935883,75.12953949,305.691864,
76.0008316,259.5743713,76.00475311,281.0661011,76.02541351,207.8052368,76.02932739,221.715744,76.05027008,197.1498718,76.05419159,233.9866943,76.07492065,215.5431061,76.07883453,284.5342407,76.10077667,182.3336639,76.10469055,228.6718903,76.12560272,207.8716888,76.12952423,300.3788452,
77.0008316,250.111496,77.00475311,276.0735779,77.02710724,206.0930634,77.03102112,220.8770752,77.05235291,193.6906891,77.05625153,229.973526,77.07810211,213.4243774,77.08202362,286.7443848,77.10276794,176.2259064,77.10668945,229.4861755,77.12747955,199.073349,77.13139343,295.8065491,
78.0008316,249.1864777,78.00475311,277.9952698,78.02644348,199.803299,78.03035736,218.9089661,78.05177307,194.0841064,78.05568695,234.0854797,78.07727051,216.8461914,78.08118439,274.1636047,78.10260773,171.1515808,78.10652161,232.2212982,78.12760162,208.3259277,78.1315155,295.2958679,
79.0008316,246.2939301,79.00475311,279.7139587,79.02566528,210.5695038,79.02957916,218.7088318,79.0515213,201.3460541,79.05541992,226.1239624,79.07627106,211.2921753,79.08018494,286.7604675,79.10177612,179.7619934,79.10569,233.4003143,79.1276474,205.978302,79.13156128,301.7577515,
80.0008316,244.8254852,80.00475311,277.9890137,80.0266037,207.9974213,80.03051758,221.7655792,80.05143738,195.6183624,80.05535126,227.8612061,80.07660675,212.3401947,80.08056641,276.5253906,80.10316467,180.6616821,80.10707855,231.847702,80.12715149,212.1338196,80.13106537,301.0825806,
81.0008316,239.1066437,81.00475311,275.0038452,81.02616119,203.4951935,81.0300827,219.6733856,81.05110931,190.2962952,81.05502319,230.6865387,81.07701874,211.9772186,81.08091736,280.5172119,81.10234833,179.1797943,81.10624695,231.6184082,81.12776947,202.3554077,81.13169098,296.4605713,
82.0008316,251.968689,82.00475311,288.3052979,82.0253067,201.5072174,82.02922821,221.0373993,82.05058289,197.9397736,82.05449677,225.2269592,82.07585144,210.5535126,82.07975006,279.9996948,82.10131073,173.3114166,82.10523224,226.3800201,82.12710571,210.1503143,82.13101959,297.8473816,
83.0008316,248.1553802,83.00475311,277.6028748,83.02674866,204.3108978,83.03066254,227.0419769,83.05193329,198.4545288,83.0558548,229.5174713,83.07741547,215.7523804,83.08132935,289.1063538,83.10260773,181.4631958,83.10652161,229.2642059,83.12783051,204.7406921,83.13174438,289.1871033,
84.0008316,246.0016174,84.00475311,285.1657715,84.02466583,207.5928345,84.02857971,221.2871857,84.04981232,196.0913239,84.0537262,223.4693604,84.07510376,213.9420471,84.07901764,277.7091064,84.10044098,181.8986206,84.10435486,235.058136,84.12581635,201.7680359,84.12973022,291.4517517,
85.0008316,241.3486633,85.00475311,276.8858948,85.02493286,209.0009613,85.02890015,226.0220642,85.04914856,195.9438782,85.05306244,223.816391,85.07410431,212.1113281,85.07801819,282.5238953,85.09993744,183.4010925,85.10385895,232.753952,85.12460327,204.7053833,85.12852478,302.8215027,
86.0008316,244.4842072,86.00475311,267.8562012,86.02549744,204.1626892,86.02941895,220.3276215,86.05033112,189.5574951,86.054245,232.819046,86.07566833,209.0548553,86.07958221,281.5198364,86.10164642,180.7057648,86.10556793,222.3865356,86.12710571,200.3254395,86.13101959,284.6643372,
87.0008316,250.86203,87.00475311,274.7258301,87.02593231,212.6625366,87.02985382,220.3220367,87.04947662,192.0307465,87.0533905,225.744812,87.07493591,212.034668,87.07885742,286.6105042,87.09843445,177.5265961,87.10234833,232.2461548,87.12343597,203.1525421,87.12734985,293.8273315,
88.0008316,249.5137939,88.00475311,282.7438354,88.02526855,208.699234,88.02919006,222.1898651,88.05126953,190.9980927,88.05518341,217.9327087,88.07675171,213.7376862,88.08066559,288.0239563,88.10160065,181.9046631,88.10551453,227.1066742,88.12677765,208.0546112,88.13069153,291.0800476,
89.0008316,247.0731354,89.00475311,280.2315674,89.02593231,209.2072144,89.02985382,221.5256958,89.05077362,189.9772949,89.0546875,218.2245636,89.0767746,209.0432587,89.08068848,291.0339966,89.10227203,180.8945618,89.10618591,231.6875153,89.12693787,209.1938629,89.13085175,287.6864624,
