Sample A1,,Sample A2,,Sample A3,,Sample A4,,Sample A5,,Sample B1,,Sample B2,,Sample B3,,Sample B4,,Sample B5,,Sample C1,,Sample C2,,Sample C3,,Sample C4,,Sample C5,,
Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),
29.00083351,22.20552254,29.02156258,213.4382935,29.04129219,249.4705811,29.06212616,163.7189941,29.08189583,330.1473694,29.18712616,14.09919643,29.16737556,154.009079,29.14756203,143.9734192,29.12772751,120.6308289,29.10689545,220.233139,29.21322823,19.46996307,29.23295975,192.7432404,29.25379181,163.1278076,29.27356148,130.9073029,29.293396,303.9610596,
30.00083351,21.71536255,30.02041626,212.7320251,30.04125023,249.687027,30.06106186,162.4352112,30.08089638,327.1581421,30.18708229,15.14116573,30.16625023,154.7718506,30.14647865,142.9542236,30.12672997,117.6470566,30.10689545,222.7504272,30.21208382,20.22847176,30.23189545,188.7540894,30.25272751,167.0964813,30.27256203,130.8218384,30.29231071,303.9312744,
31.00083351,21.44020653,31.02147865,212.8911438,31.04231071,249.8677063,31.06208229,166.7119904,31.08189583,327.4855957,31.18814468,14.85692596,31.168396,155.3850708,31.14856148,145.9185181,31.12772751,117.9877396,31.10791588,219.4577942,31.21422958,19.18148994,31.23397827,190.1972656,31.25374985,167.9706879,31.27458382,128.1342316,31.29439545,304.9913025,
32.00083542,21.25808525,32.02147675,214.6673584,32.04124832,248.1470184,32.0620842,164.8110352,32.08189392,330.4328003,32.18814468,14.40274334,32.16731262,154.0060425,32.14756393,144.9632416,32.12772751,116.4676895,32.10689545,220.2757263,32.21314621,19.80913162,32.2328949,188.1264496,32.25373077,171.6999054,32.27356339,132.3456879,32.293396,303.9547119,
33.00083542,21.33394051,33.02039719,214.7317657,33.04122925,248.9668274,33.06106186,166.1041412,33.08189392,330.1633911,33.18812561,14.95718384,33.16728973,152.8740082,33.14756393,144.278595,33.12772751,118.9619217,33.10689545,221.1430054,33.21312332,19.30706215,33.2328949,188.6417389,33.25373077,172.2606049,33.27356339,133.451767,33.293396,302.7022705,
34.00083542,22.01591492,34.02039719,216.3816071,34.04122925,246.1921234,34.06106186,167.5452271,34.08089447,328.5464783,34.18706131,14.66706848,34.16622543,152.2192383,34.14646149,147.3273468,34.12670898,116.7034988,34.10689545,220.8358307,34.21205902,19.66654015,34.2328949,183.4377899,34.25273132,174.4300842,34.27254105,126.8755493,34.29337692,302.0667725,
35.00083542,21.99757576,35.02039337,215.3005524,35.0402298,247.7667542,35.06004333,166.2191315,35.0808754,330.5995483,35.18606186,14.3627243,35.16622543,152.5540161,35.14641571,152.2799988,35.12558365,114.8044281,35.10581207,221.1072388,35.21205902,20.09055901,35.23189545,188.8403931,35.25164413,174.7675934,35.2724762,128.5725098,35.29224777,303.645752,
36.00083542,21.47054291,36.02141571,217.6631165,36.04122543,250.7325134,36.06106186,168.7228546,36.08187485,331.1213074,36.18808365,14.07491493,36.16724777,150.9405212,36.1474762,148.1579742,36.12664413,113.5404434,36.10689545,219.0098419,36.21308136,20.15758896,36.2328949,188.9614258,36.25372696,176.0648804,36.27356339,129.8795013,36.29331207,301.7744751,
37.00083542,22.11628723,37.02039337,216.9273987,37.04122543,251.1878967,37.06106186,167.2427521,37.08081055,332.8617249,37.18706131,14.82631493,37.1672287,150.8447723,37.14639664,145.2389069,37.12662506,113.2657013,37.10689545,215.882782,37.21306229,19.9095726,37.2328949,195.24617,37.25270844,178.8355713,37.27356339,133.204422,37.29328918,301.2871704,
38.00083542,21.54958916,38.02039337,216.3317871,38.04122543,245.5874481,38.06106186,161.4565582,38.08079147,329.1942139,38.18706131,14.2693634,38.1672287,150.8864441,38.14745712,146.5566406,38.12662506,102.4783325,38.10689545,218.3351593,38.21306229,20.81835175,38.2328949,197.2215881,38.25270844,183.5820313,38.27245712,136.4972687,38.29328918,305.0987244,
39.00083542,21.50781059,39.02039337,219.5860291,39.04021072,247.0740662,39.0599556,159.2785645,39.08079147,328.5686951,39.18604279,14.77160835,39.16622543,153.1517792,39.14639664,149.0061035,39.12556076,101.3653259,39.10578918,219.4723206,39.21205902,20.08016968,39.23187637,199.7855835,39.25162506,187.6754913,39.27139664,135.501358,39.2922287,300.8903198,
40.00083542,22.12121201,40.02139664,214.6298218,40.04122543,247.7916412,40.06104279,160.6841583,40.08074951,329.4019165,40.18706131,14.4838686,40.1672287,155.2884216,40.14639664,150.2219849,40.1265831,105.7447739,40.10681152,216.9768372,40.21203995,19.57666016,40.2328949,203.2057343,40.25264359,189.980835,40.27241516,139.3169861,40.2922287,301.9353638,
41.00083542,21.7358017,41.02139664,213.874588,41.0422287,243.1869812,41.06206131,161.6855621,41.08181,323.5081177,41.18806076,14.50047588,41.1672287,158.2261658,41.14741516,150.8499146,41.12764359,106.2436066,41.1078949,219.1968842,41.21306229,20.03878593,41.2328949,208.0697174,41.25370789,189.0036926,41.27347946,141.2393036,41.29325104,302.0159607,
42.00083542,20.76543999,42.02039337,215.2735596,42.04122543,239.6283569,42.06095886,159.6312103,42.08073044,327.4601135,42.18706131,14.93842125,42.1672287,158.2463531,42.14639664,149.8000336,42.12656403,109.6152344,42.10679245,216.1697845,42.21205902,19.64427948,42.23287201,208.0727692,42.25262451,190.4164734,42.27239609,143.868454,42.29220963,300.1101685,
43.00083542,22.25349998,43.02139664,215.2388306,43.04220963,239.8324432,43.06203842,161.9036865,43.08179092,326.8104858,43.18806076,14.78019619,43.16822815,159.2735748,43.14739609,148.8165436,43.12762451,107.4085464,43.10787201,216.218277,43.21406174,19.31598663,43.23389435,209.7622375,43.25370789,193.2626038,43.27345657,147.4942169,43.29429245,302.3150024,
44.00083542,21.51836586,44.02137375,206.7100372,44.04220963,237.4356689,44.06203842,162.6848755,44.08174896,332.9414368,44.18804169,14.13039398,44.16822815,161.0919189,44.14739609,146.2573395,44.12758255,111.0225143,44.10787201,217.6818848,44.2130394,20.24076271,44.23389435,212.0363464,44.25370789,193.401062,44.27341843,148.4764404,44.29322815,299.4216919,
45.00083542,21.55830383,45.02137375,206.477417,45.04114532,242.5196381,45.0609169,168.8351288,45.08174896,325.1061401,45.18697739,14.55720234,45.1672287,160.9689331,45.14739609,148.7167511,45.12758255,108.9812164,45.10675049,217.3547516,45.21306229,19.60484505,45.23281097,213.7602386,45.25258255,195.0634308,45.27341843,148.1453247,45.29322815,299.6280212,
46.00083542,21.16080093,46.02031326,207.9781799,46.04008484,246.8518677,46.0609169,173.0469513,46.08073044,326.2235718,46.1859169,14.90711689,46.16614532,165.6521149,46.14637375,147.1002655,46.12656403,111.2165146,46.10572815,215.6594543,46.21197891,19.51928902,46.23175049,215.957962,46.25258255,195.8658752,46.27239609,151.0076141,46.2922287,299.2882996,
47.00083542,21.44598579,47.02139664,203.3587799,47.0422287,251.7022552,47.06197739,177.0571594,47.08172989,327.9148254,47.18806076,14.95963573,47.1672287,163.1826172,47.14739609,146.3674469,47.12756348,111.2302322,47.1077919,218.0977173,47.21306229,19.85074043,47.2327919,216.791214,47.25362396,194.2465363,47.27339554,150.1767426,47.29423141,296.6594543,
48.00083542,21.20221901,48.02139664,205.0588531,48.04112625,251.4740753,48.06089783,177.8791351,48.08172989,327.5245361,48.18806076,14.14951611,48.16822815,167.0626068,48.14739609,151.2563324,48.12756348,112.5166702,48.10673141,217.6992493,48.21306229,19.67860794,48.23389435,216.0744324,48.25362396,196.8267212,48.27339554,152.3219299,48.29423141,301.3381958,
49.00083542,20.5299778,49.02137375,213.0311432,49.0422287,255.4277496,49.06195831,179.5766449,49.08172989,330.0959778,49.18804169,14.82701778,49.16720963,168.0838928,49.14739609,153.9724884,49.12756348,112.222847,49.1077919,214.3428192,49.21406174,19.47010612,49.23387527,216.1670532,49.25362396,194.4879761,49.27339554,153.7847443,49.29423141,300.3170471,
50.00083542,21.68527794,50.02131271,215.379364,50.04108429,257.3206787,50.06089783,178.5931244,50.08172989,326.4486389,50.18691635,14.70532608,50.16714859,168.2428284,50.14739609,153.4585876,50.12756348,115.2421951,50.10673141,216.1801147,50.21297836,19.6959877,50.23274994,219.7254944,50.25256348,194.4412537,50.27339554,152.4269562,50.29322815,298.3170776,
