Sample A1,,Sample A2,,Sample A3,,Sample A4,,Sample A5,,Sample A6,,Sample A7,,Sample A12,,
Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),
35.00083542,14.46804428,35.02189636,25.65614891,35.04256058,37.63441086,35.0636673,27.21352959,35.08422852,31.14801979,35.10441589,33.43055725,35.12543869,21.10761261,35.17508316,477.7390137,
35.50083542,15.15187836,35.52091599,27.32679176,35.54158401,37.11662292,35.56272888,26.80887032,35.58325195,30.8195591,35.6041069,30.03202438,35.62439728,22.42403603,35.67341614,491.427002,
36.00083542,17.28671646,36.02006531,26.10335732,36.04158401,37.36317062,36.0625,27.24397278,36.08306122,32.84048462,36.10372543,34.33220673,36.12489319,22.73064804,36.17522812,478.1304932,
36.50083542,14.99777317,36.52206039,25.01534271,36.54322815,34.53609467,36.56358337,24.82761955,36.58491516,30.99975395,36.6059761,35.04655075,36.62622833,25.75935173,36.67472839,478.8374634,
37.00083542,17.57782745,37.02199936,25.43626213,37.04322815,30.07062531,37.06339645,24.25928307,37.08408356,28.7870388,37.10464859,36.10099411,37.12572861,22.80958366,37.17356491,490.9733887,
37.50083542,16.429739,37.52099991,28.54396248,37.54189301,37.45679855,37.56206131,26.57175636,37.58314514,38.25579071,37.60381317,30.11566162,37.62506104,25.75716782,37.67272949,460.2330933,
38.00083542,19.07226372,38.02139664,27.25292397,38.04172897,35.29208755,38.06243896,24.97517014,38.08275223,31.51153374,38.10358429,35.30595016,38.12443924,24.00038338,38.17439651,484.1760559,
38.50083542,15.70717621,38.52124786,27.50652695,38.54174805,34.27163696,38.56358337,25.60434532,38.58439636,32.18175507,38.60491562,29.56414986,38.62543869,22.7864418,38.67375183,475.7968445,
39.00083542,14.13957596,39.02206039,28.25348663,39.04272842,31.15503502,39.06374741,25.75191116,39.08398056,31.39209747,39.10443878,37.0140686,39.12558365,19.72438622,39.17564774,467.1510315,
39.50083542,14.21291256,39.52143478,26.16890144,39.54264832,34.71835709,39.56356049,28.41654015,39.58475113,29.79227638,39.60560226,33.08049774,39.62606049,25.19531822,39.6760025,471.6976624,
40.00083542,13.5728159,40.0208931,26.58136177,40.04091644,37.67206573,40.06222916,28.69407463,40.08241653,32.70869827,40.10264587,31.98524857,40.12389755,24.24431038,40.17341614,477.7604065,
40.50083542,16.53713417,40.52075195,23.32183075,40.54198074,36.88095474,40.56308365,30.30081558,40.58322906,30.49074554,40.60427094,33.42258835,40.62491989,22.98311424,40.67389679,479.8391113,
41.00083542,18.59142685,41.02114487,28.64167404,41.04239655,33.8001709,41.06272888,24.17845726,41.08408356,32.99164581,41.10510254,31.06838989,41.12606049,21.23419189,41.17541504,491.1386719,
41.50083542,16.94292831,41.52056122,27.6034832,41.54091644,34.47026443,41.56216812,28.79107094,41.58241653,28.78742981,41.60347748,30.14598656,41.62397766,24.87864113,41.67260361,474.6914063,
42.00083542,14.34023094,42.02122879,27.19735527,42.0422287,32.7097168,42.06310272,26.25478745,42.08364487,33.9281044,42.10506058,33.641819,42.12539291,20.75411606,42.17531204,470.4901428,
42.50083542,17.50780296,42.52139664,26.21661186,42.54248047,37.76461029,42.56356049,26.65303612,42.58424759,35.78173065,42.60541534,32.45436096,42.62650299,19.92222977,42.67427063,489.8004761,
43.00083542,16.04277992,43.02081299,27.24149132,43.04206085,32.76017761,43.06241989,28.6139431,43.08341599,31.85280418,43.10381317,30.30151749,43.12456131,24.70005226,43.17356491,480.9385071,
43.50083542,16.45940018,43.52189636,28.24241829,43.54239655,32.74608612,43.56356049,30.7769928,43.58458328,29.87494659,43.60477066,33.87475204,43.62614822,24.11376381,43.67448044,480.4686584,
44.00083542,15.46391773,44.02122879,25.4563961,44.04141998,36.70535278,44.06264496,27.18554115,44.0833931,33.46779251,44.10389328,35.03807068,44.12425232,24.40896034,44.17289734,477.8921509,
44.50083542,12.61248302,44.52191544,26.53710938,44.54314804,35.77812958,44.5640831,24.44106674,44.58414841,31.50522423,44.60533524,31.41130829,44.62639618,20.95289421,44.67489243,485.7514648,
45.00083542,18.04834747,45.02033234,26.13674545,45.04125214,34.09962845,45.06177139,28.53731155,45.08306122,31.31539726,45.10356522,31.5823555,45.12491989,22.76997566,45.17308426,476.5404358,
45.50083542,13.72821999,45.52174759,30.26247787,45.54281235,28.59742355,45.56391525,27.37762833,45.58448029,30.96402359,45.60556412,34.95301056,45.62558365,22.23280525,45.6739769,465.7780151,
46.00083542,14.21709919,46.02143478,25.70081711,46.04249954,35.26594543,46.06274796,27.50043678,46.08406067,29.8232975,46.10439301,32.72808456,46.12556076,24.05189323,46.17423248,469.8272705,
46.50083542,15.55842304,46.52206039,28.2474823,46.54325104,31.56191063,46.56360245,26.15874481,46.58475113,32.51870728,46.60508347,31.41889381,46.62591553,22.17630196,46.67616653,498.5484009,
47.00083542,15.66528893,47.02149963,28.02532387,47.04272842,31.57195854,47.06293869,24.69457817,47.08439636,34.2438736,47.10558319,33.19212341,47.1259346,24.17763519,47.17556,473.2063904,
47.50083542,13.66120243,47.52189636,28.89416122,47.54206085,32.92556763,47.5629158,26.10739326,47.58408356,32.81087494,47.60448074,33.16487885,47.62539291,24.78739357,47.67489243,486.1521301,
48.00083542,15.04976273,48.02039337,27.14007759,48.04164505,32.68574905,48.06272888,27.34337616,48.08372879,33.39981461,48.10408401,36.63560867,48.12510681,23.56435776,48.17306137,475.6677856,
48.50083542,16.14970016,48.52141571,26.99298668,48.5418129,32.76747131,48.56274796,26.33781433,48.58431244,30.68404388,48.6047287,37.33174896,48.62522888,22.64773941,48.67356491,468.3094177,
49.00083542,15.65304756,49.02077103,28.26470757,49.04206085,32.97680664,49.06239319,29.93607521,49.08260345,37.16732407,49.10350037,34.51622772,49.12456131,24.35053062,49.17231369,463.5723572,
49.50083542,15.54615784,49.52139664,28.27122307,49.54239655,32.12781525,49.56308365,29.30376053,49.58441544,31.68189812,49.60498047,30.37097931,49.62589645,23.75556564,49.67466736,488.5275574,
50.00083542,15.53017616,50.02131271,28.29159355,50.04239655,30.52882767,50.06324768,30.34403229,50.08399963,31.61443329,50.10439301,33.9379921,50.12522888,25.36470985,50.17524719,461.1593018,
50.50083542,16.33205223,50.52058411,26.74273109,50.54166794,34.41753387,50.56306076,27.71060562,50.58308411,31.81212807,50.60343933,33.23077011,50.62483215,19.66360474,50.67258453,490.8479919,
51.00083542,14.55962467,51.02091599,27.3003273,51.04191589,34.39299011,51.06316757,27.86059952,51.08389664,32.13784409,51.10424805,29.71557426,51.1254158,23.24738312,51.17547989,468.2128296,
51.50083542,15.87539005,51.52000046,24.69925308,51.54125214,30.86868095,51.5615654,27.47722435,51.58264542,34.23980331,51.60383224,32.34334183,51.62422943,25.24801636,51.67443848,486.2156372,
52.00083542,17.92999077,52.02081299,28.54049683,52.04206085,31.88269234,52.06308365,26.46857834,52.08358002,31.29727364,52.10398102,28.44997406,52.12522888,22.06194305,52.17274857,471.7969666,
52.50083542,17.31762123,52.52114487,25.73061562,52.54239655,34.27530289,52.56258011,27.97624779,52.58393478,28.95186806,52.60481262,33.60572052,52.62566757,23.64941025,52.67576981,461.690918,
53.00083542,13.14191341,53.02075195,23.06440926,53.04127121,35.67726135,53.06266785,28.72429657,53.08289337,29.85294533,53.10406113,33.11628342,53.12514496,26.86824036,53.17322922,471.9398193,
53.50083542,13.79527664,53.52158356,27.93437195,53.54198074,28.08850288,53.56322861,24.07120514,53.58341599,33.22634125,53.60408401,31.86274719,53.62475204,24.45113564,53.67291641,477.4300537,
