Wavelength (nm),Intensity (a.u.),Z Axis,
,Sample A1,Sample A2,Sample A3,Sample B3,Sample B2,Sample B1,Sample C1,Sample C2,Sample C3,Sample A1,Sample A2,Sample A3,Sample B3,Sample B2,Sample B1,Sample C1,Sample C2,Sample C3,Sample A1,Sample A2,Sample A3,Sample B3,Sample B2,Sample B1,Sample C1,Sample C2,Sample C3
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
584.02001953125,1.92053472995758,54.8746719360352,17.6190929412842,15.3183679580688,49.8904647827148,1.95954930782318,2.10023856163025,55.0663833618164,18.0470371246338,3.3259425163269,54.1304130554199,22.737663269043,23.4983043670654,56.8768920898438,4.13647937774658,2.33230710029602,66.9092254638672,26.6819953918457,2.84848165512085,56.8835182189941,19.2234859466553,21.6356658935547,63.5991172790527,2.0579981803894,3.59677958488464,60.5431404113769,26.5658645629883
585.070007324219,4.63905334472656,41.7024078369141,13.7681159973145,18.5004196166992,47.9299201965332,3.19969892501831,2.95662045478821,40.182502746582,14.9316511154175,1.29876375198364,63.7312240600586,24.5342273712158,25.2309284210205,52.0544090270996,1.71899247169495,1.46348261833191,60.5981597900391,24.1501159667969,2.9056282043457,57.9831314086914,21.6524620056152,21.6143741607666,61.3295555114746,4.16838312149048,1.9153550863266,60.9831275939941,22.0557727813721
585.969970703125,2.04731011390686,49.2225456237793,20.3515701293945,21.0734729766846,37.4387168884277,4.64670991897583,2.79756450653076,44.1474380493164,18.4673919677734,2.42284822463989,46.0767631530762,18.526876449585,19.6607646942139,51.8666114807129,4.44979810714722,0.498480796813965,72.2513122558594,25.9564514160156,1.89247918128967,52.0563087463379,23.4177227020264,19.3504276275635,50.2471008300781,2.35866069793701,3.05094361305237,58.3093681335449,18.8632717132568
587.010009765625,1.1860386133194,43.7661323547363,20.7141819000244,18.2139911651611,39.4464988708496,2.30892467498779,3.08339190483093,48.4608345031738,17.4694347381592,1.57938897609711,48.056453704834,18.7425575256348,19.5273571014404,41.3097305297852,1.53012895584106,2.60017657279968,66.3583526611328,23.4512615203857,1.53564894199371,42.6700973510742,21.4710350036621,17.2540645599365,50.17431640625,1.07993900775909,1.49507772922516,53.7135620117188,21.6907939910889
588.049987792969,2.26055932044983,40.7276763916016,15.4018850326538,20.3163547515869,37.2014999389648,1.82507693767548,2.40011310577393,43.0972595214844,22.2608108520508,3.44250774383545,57.1748046875,18.5106010437012,21.8803482055664,42.1126708984375,2.622887134552,3.35328245162964,44.6290054321289,22.3590927124023,0.888782143592834,43.3368148803711,22.29052734375,19.029634475708,58.5488815307617,2.02578711509705,1.80706143379211,52.9981460571289,23.386962890625
588.950012207031,3.66430878639221,41.3115081787109,14.4999885559082,14.3472690582275,41.540657043457,2.96778178215027,1.05138051509857,43.0694236755371,16.99440574646,2.65914011001587,47.0046272277832,24.7940235137939,19.2244567871094,47.0179672241211,2.3903021812439,1.51909220218658,60.613224029541,23.7457809448242,1.43057990074158,46.2847023010254,20.6462345123291,19.6826019287109,41.4322242736816,1.02693367004395,1.08437347412109,52.9832496643066,19.3431758880615
590,0.962368905544281,40.2447776794434,12.4516534805298,17.3571395874023,38.7521591186523,2.7757523059845,1.3215651512146,35.783275604248,17.0349788665771,1.90458047389984,46.650520324707,13.7133827209473,20.7408466339111,50.6209373474121,2.52598857879639,1.74199628829956,59.1786880493164,20.2637119293213,1.83101654052734,39.8183326721191,13.2075471878052,16.5291213989258,48.9322128295898,2.31564378738403,0.833603501319885,49.9200706481934,24.0058765411377
591.02001953125,2.13701462745666,39.4714088439941,16.6642265319824,18.3584804534912,41.685920715332,2.3948655128479,1.26972186565399,31.8857841491699,16.8697280883789,2.28428792953491,45.3095588684082,20.3787021636963,20.3575210571289,42.1003913879395,2.50250244140625,1.92298674583435,56.6707153320313,19.2960033416748,2.86112713813782,37.2456588745117,20.0583763122559,22.8118324279785,46.4505424499512,1.42761969566345,3.93775057792664,51.7101974487305,16.1120433807373
592.049987792969,1.90830588340759,34.5347480773926,11.8225202560425,18.2987613677979,48.3494338989258,2.69616961479187,1.54358208179474,38.6636619567871,18.7377643585205,1.95809662342072,38.7152061462402,20.6840534210205,16.2111644744873,37.1522369384766,1.74307548999786,2.33418083190918,47.9824256896973,25.1217517852783,1.68358147144318,36.1434173583984,17.2653064727783,16.6468772888184,48.099063873291,1.82763290405273,2.89786243438721,49.4523086547852,20.2084808349609
592.940002441406,2.75868725776672,31.6006660461426,14.5589294433594,17.2701416015625,34.756893157959,2.25042343139648,1.55777955055237,41.9245262145996,17.8641872406006,2.19863343238831,34.6957015991211,12.2164926528931,18.5386867523193,42.1336708068848,2.86734986305237,2.57094120979309,46.8240852355957,26.9839782714844,2.23555707931519,39.0152130126953,15.7784767150879,18.565580368042,42.6842231750488,2.21713948249817,1.76768851280212,46.8797073364258,18.0551910400391
