Sample M4,,
Time (min),Intensity (a.u.),
49.62916565,246.2871399,
49.63083649,254.7895203,
49.63249969,257.8455505,
49.63416672,244.7351227,
49.63583755,270.2519836,
49.63750076,230.5046692,
49.63916779,258.4679871,
49.64083099,208.07547,
49.64250183,230.6173859,
49.64416885,251.6496582,
49.64583206,251.5996857,
49.6475029,271.6105652,
49.64916611,240.2197571,
49.65083313,257.7731628,
49.65250397,240.0507507,
49.65416718,256.3754883,
49.6558342,254.9832764,
49.65749741,285.6867371,
49.65916824,270.0080261,
49.66083527,259.7194214,
49.66249847,251.2566986,
49.66416931,256.6516724,
49.66583252,230.3641968,
49.66749954,264.9983215,
49.66917038,274.8374329,
49.67083359,266.3293152,
49.67250061,230.0441589,
49.67416763,272.2017212,
49.67583466,261.5771484,
49.67750168,295.2162781,
49.67916489,271.3107605,
49.68083572,269.2050476,
49.68249893,229.8269348,
49.68416595,253.9017944,
49.68583679,239.1887817,
49.6875,250.8551025,
49.68916702,264.7635193,
49.69083405,247.6716003,
49.69250107,259.6340942,
49.69416809,263.9753113,
49.69583511,242.4641571,
49.69750214,275.6376038,
49.69916534,260.8024597,
49.70083237,277.0251465,
49.7025032,251.5359955,
49.70416641,232.9853516,
49.70583344,269.1134033,
49.70750046,281.0878601,
49.70916748,240.8419495,
49.7108345,253.9186096,
49.71250153,273.0973206,
49.71416855,230.2376099,
49.71583176,233.9544525,
49.71750259,221.0302429,
49.71916962,281.2462769,
49.72083282,254.3830414,
49.72249985,261.9101868,
49.72416687,229.4667206,
49.72583389,229.377121,
49.72750092,268.4481812,
49.72916794,245.623291,
49.73083496,267.1807861,
49.73249817,250.0594482,
49.73416901,230.7260132,
49.73583603,259.7311096,
49.73749924,247.91185,
49.73917007,256.2770081,
49.74083328,266.0007324,
49.74250031,244.0180969,
49.74416733,247.3515015,
49.74583435,263.147583,
49.74750137,249.4601135,
49.74916458,239.4637451,
49.75083542,212.7383881,
49.75250244,257.999054,
49.75416565,239.4189453,
49.75583649,248.4931183,
49.75749969,250.7931824,
49.75916672,266.9108582,
49.76083755,283.8790283,
49.76250076,235.1345215,
