Sample E1_Ex465_Em530,,Sample E1_Ex465_Em590,,Sample E2_Ex465_Em530,,Sample E2_Ex465_Em590,,Sample E3_Ex465_Em530,,Sample E3_Ex465_Em590,,Sample E4_Ex465_Em530,,Sample E4_Ex465_Em590,,Sample E5_Ex465_Em530,,Sample E5_Ex465_Em590,,Sample E6_Ex465_Em530,,Sample E6_Ex465_Em590,,
Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),
57.00083542,47.38304138,57.0047493,155.353363,57.02539444,48.42269516,57.02931213,165.4478149,57.05125046,45.89421463,57.05516815,152.8694,57.07643509,48.6627121,57.08033371,175.4959412,57.10185623,43.26167297,57.10577011,148.8289032,57.12760544,46.88262939,57.13149643,162.4282227,
58.00083542,44.28141403,58.0047493,159.0934296,58.02468491,46.420578,58.02860641,166.3302155,58.05068588,44.81721115,58.05460739,155.2732239,58.07535553,48.42179871,58.07927322,172.7656097,58.10052109,44.03137207,58.10443878,149.978714,58.12522888,45.37374878,58.12914658,162.0177765,
59.00083542,47.13250732,59.0047493,157.1107025,59.02641678,47.1947403,59.03033447,163.2691956,59.05158234,43.95563889,59.05550003,155.8486023,59.07668686,49.63802719,59.08060455,173.8327179,59.10266495,44.39756012,59.10658264,148.4352264,59.12752151,46.41334152,59.13143539,162.8899994,
60.00083542,46.0786171,60.0047493,157.5046539,60.02643585,47.37693405,60.03033447,167.4264221,60.0515213,43.67800903,60.05543518,151.1490173,60.07725143,50.45782852,60.08116913,171.7346497,60.10218811,44.08234787,60.10610199,153.5812683,60.12841797,46.73040771,60.13233185,162.3473969,
61.00083542,45.86098862,61.0047493,159.1983948,61.02576828,47.28655243,61.0296669,165.1235504,61.05116653,42.8660202,61.05508041,153.0786438,61.07666779,49.84223557,61.08058167,169.9155121,61.10139465,43.74230194,61.10531235,153.4351196,61.12702179,46.59317017,61.13093567,163.240509,
62.00083542,45.9555397,62.0047493,158.6116028,62.02735519,46.49753952,62.03126907,165.7760925,62.05277252,45.03159714,62.05666351,154.6148224,62.07752228,48.83329773,62.08143616,174.1220551,62.10235596,44.25310135,62.10626984,150.0273132,62.12741852,46.01533127,62.1313324,162.8687744,
63.00083542,46.66496658,63.0047493,160.616745,63.0268364,48.08365631,63.03075027,164.3576202,63.05158234,43.64746094,63.05550003,155.7337036,63.07668686,49.61587906,63.08060455,171.8266144,63.10152054,44.51610184,63.10543442,152.1154785,63.12685394,47.49603271,63.13077164,164.7537537,
64.0008316,46.56689072,64.00474548,159.4996185,64.0260849,47.20742416,64.02999878,167.4489441,64.05191803,43.42468643,64.05583191,152.6824799,64.07707977,49.78347015,64.08100128,172.4615326,64.10185242,43.63234711,64.1057663,149.5875244,64.1266861,46.7139473,64.13059998,161.6200256,
65.0008316,44.77949905,65.00474548,159.0647125,65.0260849,48.02750397,65.02999878,162.8248291,65.05085754,43.35793304,65.05477142,154.88797,65.07585144,48.97345352,65.07976532,173.8322601,65.10183716,44.68572235,65.10575104,151.6115417,65.12651825,45.45825958,65.13043976,160.2898102,
66.0008316,45.77941513,66.00474548,155.6523438,66.02593231,46.13053131,66.02983093,163.9998322,66.05118561,43.97457123,66.05509949,152.6099854,66.07658386,49.3649826,66.08049774,168.6016693,66.10124969,42.85682678,66.1051712,150.1929016,66.12693787,47.20648956,66.13083649,160.3205719,
