Wavelength (nm),Intensity (a.u.),Z Axis,
,Sample E1,Sample E2,Sample E3,Sample E4,Sample E5,Sample E6,Sample E7,Sample E8,Sample E9,Sample E10
506.059997558594,119.292098999023,127.519500732422,119.155937194824,128.523895263672,130.463577270508,128.673980712891,130.370971679688,132.518020629883,131.367156982422,2.09400010108948
506.959991455078,113.116714477539,122.921760559082,120.205871582031,131.442276000977,127.755447387695,124.721405029297,130.115982055664,127.68310546875,130.995651245117,1.7346271276474
508.029998779297,112.211692810059,121.169143676758,118.741638183594,123.828887939453,124.764465332031,125.32682800293,128.459075927734,127.294403076172,127.42211151123,1.87122440338135
508.929992675781,106.935920715332,118.463981628418,121.448867797852,122.485649108887,124.334266662598,121.995826721191,124.833488464355,124.402153015137,121.96656036377,1.92544388771057
510,109.713111877441,112.157104492187,118.796684265137,120.785285949707,120.813346862793,120.218910217285,124.845237731934,121.587280273437,120.408142089844,1.76827657222748
511.040008544922,107.310981750488,112.345291137695,113.689575195312,118.327278137207,119.915969848633,118.832176208496,123.018035888672,119.623085021973,118.574913024902,1.66151762008667
511.940002441406,102.691177368164,112.405097961426,109.789581298828,117.076789855957,113.522468566895,116.572914123535,116.465324401855,117.824882507324,117.407295227051,1.72829163074493
512.97998046875,102.715019226074,109.905349731445,109.376708984375,111.521965026855,117.65941619873,113.636642456055,119.101203918457,113.789138793945,110.745391845703,1.71339344978333
514.02001953125,97.1921310424805,105.886169433594,105.760070800781,113.013565063477,109.853248596191,112.45873260498,114.29508972168,108.233360290527,109.612823486328,1.74487149715424
515.070007324219,97.4240570068359,106.068305969238,103.540786743164,108.725402832031,108.091148376465,109.181251525879,108.486679077148,109.34741973877,109.452491760254,1.78809213638306
515.969970703125,94.3695831298828,98.9608001708984,102.427833557129,106.37377166748,106.344375610352,106.520736694336,107.057075500488,105.90340423584,103.97095489502,1.69882726669312
517.010009765625,95.2202377319336,100.624694824219,97.7471618652344,104.495330810547,101.543609619141,102.890228271484,105.5986328125,103.475273132324,102.733062744141,1.54461455345154
518.049987792969,93.1106185913086,96.4845123291016,98.8798751831055,98.1132507324219,98.2895126342773,100.321151733398,103.055458068848,100.294342041016,99.5385360717773,1.66834354400635
518.950012207031,90.3747787475586,94.9318084716797,94.6001586914062,96.972785949707,96.9759063720703,95.7585754394531,103.275390625,95.4765014648438,94.6014709472656,1.79986035823822
520,85.990234375,96.0494537353516,93.5682144165039,95.2430725097656,94.1743927001953,94.5529174804687,97.8255310058594,99.3056869506836,93.9893112182617,1.68450653553009
521.059997558594,87.7009811401367,89.5821990966797,88.5752258300781,93.0697402954102,90.7967224121094,92.8363647460937,95.2486190795898,93.4273071289063,92.4808349609375,1.73440909385681
521.960021972656,81.565299987793,86.7515258789063,87.1928634643555,89.6480178833008,90.5639801025391,90.7136459350586,90.869270324707,90.2192611694336,90.2929229736328,1.70420408248901
523.030029296875,80.7462539672852,85.2844619750977,84.8257141113281,88.8940887451172,88.9183578491211,87.364501953125,90.8539276123047,86.6941757202148,86.3890686035156,1.66579782962799
523.929992675781,79.9423446655273,80.8414688110352,84.7892608642578,86.6207275390625,84.5628509521484,86.3378524780273,87.0752487182617,86.5741958618164,85.4069137573242,1.78370010852814
525,76.3818283081055,78.1532821655273,79.5218658447266,82.9349517822266,81.150749206543,83.6469345092773,86.9685821533203,83.6336517333984,82.4541549682617,1.777623295784
526.059997558594,75.0405960083008,76.0347366333008,77.647705078125,79.0289840698242,78.5335464477539,79.9710693359375,80.2427978515625,78.3395233154297,81.9323577880859,1.64331674575806
526.960021972656,71.4723281860352,75.6414947509766,74.6796417236328,74.7793502807617,73.8951110839844,79.8083038330078,81.5152587890625,80.1701812744141,78.6305999755859,1.73139095306396
528.030029296875,71.7263031005859,71.1565475463867,75.3885498046875,74.1049041748047,74.415641784668,75.276237487793,79.4136962890625,75.6986236572266,74.7832412719727,1.63775074481964
528.929992675781,67.0901412963867,71.595703125,71.8615188598633,74.0345993041992,73.1776123046875,71.2095489501953,75.4642105102539,74.8142471313477,73.4288177490234,1.79675149917603
530,64.7021942138672,66.927131652832,69.4623031616211,70.2421035766602,70.78466796875,71.8849639892578,71.854133605957,71.6932601928711,69.499382019043,1.53641426563263
531.039978027344,64.1005859375,65.4636383056641,65.5519714355469,68.6313552856445,70.1612091064453,68.513053894043,70.2247543334961,68.9963226318359,67.3601837158203,1.64116489887238
531.940002441406,62.9546508789063,63.2763862609863,64.9765472412109,66.7305297851562,67.8282699584961,67.8286285400391,67.6648178100586,67.038215637207,66.9853591918945,1.58741211891174
532.97998046875,58.1842498779297,61.4694671630859,62.1591148376465,63.9101028442383,64.7780227661133,64.4783248901367,64.5319976806641,65.2601470947266,62.8760375976563,1.70300614833832
534.02001953125,60.9872512817383,61.0120544433594,61.4696350097656,63.440731048584,62.4315185546875,63.3134307861328,65.7198715209961,62.9102592468262,63.6110305786133,1.50031590461731
535.070007324219,58.4074249267578,58.6727676391602,58.8315162658691,61.0102119445801,60.5991058349609,61.354305267334,64.4017562866211,58.9454498291016,61.3530807495117,1.48646533489227
535.969970703125,56.2483024597168,58.5969505310059,58.0071449279785,60.0125350952148,58.9355239868164,58.202320098877,61.0387306213379,60.6372718811035,58.5215606689453,1.57905387878418
537.010009765625,54.0041618347168,55.1176834106445,55.4341316223145,57.3492546081543,57.1636352539063,55.4814338684082,57.5230941772461,55.9661407470703,56.6669960021973,1.58293759822845
538.049987792969,52.651496887207,52.3463554382324,53.636775970459,57.0038566589355,54.7357978820801,53.9375953674316,55.6828498840332,54.6783752441406,55.6905708312988,1.65545916557312
538.950012207031,51.1321411132812,50.4704208374023,52.5835800170898,54.4479179382324,52.5591163635254,53.4834785461426,54.3879547119141,52.7761993408203,53.3951683044434,1.39833474159241
540,48.505199432373,49.8807907104492,49.3628463745117,52.2968101501465,52.1314239501953,51.5794944763184,52.5669212341309,53.1962203979492,50.8011779785156,1.48752009868622
541.039978027344,48.5942420959473,47.3575744628906,48.0202865600586,51.1060447692871,49.7118339538574,49.8089828491211,51.9903373718262,51.0370750427246,49.6381187438965,1.46488344669342
541.940002441406,47.8575401306152,45.2507171630859,46.7157745361328,48.9897384643555,47.8472328186035,48.1186447143555,49.7499313354492,49.4302406311035,49.8543968200684,1.37937772274017
542.97998046875,45.2588424682617,44.6091957092285,45.2968940734863,46.9884262084961,47.0288848876953,47.617359161377,48.3966865539551,47.458869934082,46.7409172058105,1.40129864215851
544.02001953125,43.9970550537109,43.9000511169434,44.0092544555664,46.136344909668,44.036247253418,45.8566093444824,46.3228034973145,43.5430030822754,45.1433753967285,1.31938076019287
545.070007324219,42.5168838500977,42.7890777587891,42.3925743103027,45.8249969482422,42.7559928894043,43.5065383911133,45.2332725524902,44.7605934143066,44.7493896484375,1.42842030525208
