Sample E1,,Sample E2,,Sample E3,,Sample E4,,Sample E5,,Sample E6,,Sample E7,,Sample E8,,Sample E9,,Sample E10,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
442,136.0678101,442,141.9851074,442,134.6544189,442,137.8378448,442,136.9145508,442,138.6355286,442,141.5325623,442,150.1928253,442,137.9310303,442,10.58269501,
443.0700073,139.8432922,443.0700073,144.9226532,443.0700073,135.278717,443.0700073,145.4898071,443.0700073,142.2377472,443.0700073,140.403183,443.0700073,147.7291107,443.0700073,146.2546692,443.0700073,135.832962,443.0700073,11.16071415,
444,139.9049988,444,137.9862823,444,141.6312103,444,142.0001068,444,144.7076416,444,144.8577881,444,148.0346375,444,150.8849487,444,140.4566193,444,11.55612946,
445.0700073,142.0363312,445.0700073,147.9676666,445.0700073,142.8417969,445.0700073,146.8625031,445.0700073,144.5561218,445.0700073,142.5205536,445.0700073,148.1094818,445.0700073,150.0709229,445.0700073,141.2712097,445.0700073,12.40849209,
446,142.4501953,446,147.3085022,446,141.0859375,446,144.6512451,446,145.677002,446,144.9300232,446,152.8907928,446,157.1385193,446,144.363739,446,12.53601742,
447.0700073,144.243515,447.0700073,149.5444946,447.0700073,145.212326,447.0700073,148.7050476,447.0700073,150.5266724,447.0700073,145.583252,447.0700073,154.5048218,447.0700073,161.0976257,447.0700073,148.3313751,447.0700073,12.172719,
448,145.3644409,448,148.7679443,448,142.46492,448,150.663147,448,150.8791656,448,151.3794708,448,154.3293304,448,161.1624298,448,146.9087524,448,13.45236397,
449.0700073,149.4223938,449.0700073,152.4947205,449.0700073,144.4030914,449.0700073,155.2683105,449.0700073,151.4657745,449.0700073,150.3006439,449.0700073,152.6870422,449.0700073,159.2261963,449.0700073,147.529541,449.0700073,12.30047226,
450,148.7598877,450,152.4367371,450,147.0488281,450,149.6475983,450,154.941391,450,152.7731171,450,158.4673309,450,161.1030579,450,149.1221466,450,12.57063389,
451.0599976,150.0372009,451.0599976,154.0525665,451.0599976,149.5271301,451.0599976,151.9380188,451.0599976,152.6444244,451.0599976,153.2280579,451.0599976,158.2950287,451.0599976,160.6482849,451.0599976,148.6672058,451.0599976,12.75979233,
451.9599915,151.8091583,451.9599915,154.5411377,451.9599915,149.1475372,451.9599915,153.4344025,451.9599915,157.1783295,451.9599915,151.8914948,451.9599915,160.4271545,451.9599915,164.8058167,451.9599915,150.0293732,451.9599915,12.4281044,
453.0299988,149.1231232,453.0299988,154.6490784,453.0299988,151.2015228,453.0299988,157.2064362,453.0299988,158.3015594,453.0299988,152.6431427,453.0299988,161.4398804,453.0299988,166.3782806,453.0299988,151.4974365,453.0299988,11.45167255,
453.9299927,153.2282562,453.9299927,157.7302399,453.9299927,150.9253235,453.9299927,156.9525604,453.9299927,155.7214508,453.9299927,154.2693787,453.9299927,161.439682,453.9299927,164.351944,453.9299927,151.9118042,453.9299927,11.37926102,
455,149.8006439,455,157.2498016,455,149.6319275,455,162.7825012,455,152.0211792,455,155.0887604,455,160.2646484,455,166.0371857,455,151.8482056,455,11.27635765,
456.0599976,151.2440643,456.0599976,157.3315582,456.0599976,150.7202454,456.0599976,159.5961456,456.0599976,159.9921112,456.0599976,156.8372955,456.0599976,157.958847,456.0599976,166.3472137,456.0599976,153.3913879,456.0599976,10.41991901,
456.9599915,151.8092804,456.9599915,156.7773438,456.9599915,149.2359314,456.9599915,162.9936829,456.9599915,160.0722809,456.9599915,160.8158875,456.9599915,162.3820953,456.9599915,165.5922241,456.9599915,157.3712769,456.9599915,9.974053383,
458.0299988,158.402359,458.0299988,158.0726929,458.0299988,155.5360413,458.0299988,158.5363617,458.0299988,156.5746765,458.0299988,159.5990295,458.0299988,161.9133911,458.0299988,168.0029907,458.0299988,150.5274353,458.0299988,9.974884987,
458.9299927,154.2935028,458.9299927,162.1007233,458.9299927,153.4143829,458.9299927,161.2745056,458.9299927,159.9575958,458.9299927,156.6013031,458.9299927,162.8166199,458.9299927,168.7584229,458.9299927,158.1844635,458.9299927,9.779526711,
460,154.4286499,460,157.9367676,460,156.4303436,460,161.2937317,460,162.0804443,460,161.553009,460,161.6838684,460,166.6824036,460,160.9935913,460,8.813984871,
461.0599976,151.1085815,461.0599976,158.5311737,461.0599976,152.5457306,461.0599976,161.3887482,461.0599976,158.19664,461.0599976,159.8862457,461.0599976,164.9984589,461.0599976,173.096817,461.0599976,161.2550964,461.0599976,7.950792313,
