Sample A1,,Sample A2,,Sample A3,,Sample A4,,Sample A5,,Sample A6,,
Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),
26.00083351,36.48209763,26.0201664,370.8864441,26.04198074,320.2687378,26.06216621,300.7102966,26.08295822,300.8041382,26.10429001,298.8092346,
27.00083351,37.73303986,27.02239609,366.3905945,27.04279137,319.4265137,27.06429291,297.5067444,27.0846653,300.268158,27.10533333,299.4894104,
28.00083351,31.72377205,28.02212524,372.8712769,28.04356194,311.2595215,28.06379128,299.0128174,28.08520889,294.9122009,28.10570908,301.7915039,
29.00083351,34.45334244,29.02020836,367.2076111,29.04156303,318.3695374,29.06279182,296.2370911,29.08333397,309.301178,29.10420799,292.5214539,
30.00083351,36.03198242,30.02045822,366.9299011,30.04179001,311.8562622,30.06214523,290.4603271,30.08322906,300.7391663,30.10379219,287.2266846,
31.00083351,34.13180923,31.01997948,365.8190613,31.04133224,315.3688049,31.06179237,291.7992249,31.08283234,292.0021973,31.10422897,296.4095764,
32.00083542,34.82476807,32.02062607,368.1616516,32.04112625,312.0723572,32.06256485,299.8847351,32.08322906,295.8239136,32.10445786,295.822113,
33.00083542,35.99436188,33.02070999,361.6219482,33.04150009,320.1976624,33.06287384,297.7599792,33.08395767,284.9285583,33.10529327,289.9767456,
34.00083542,32.88302231,34.02131271,357.8820801,34.04283142,317.1685181,34.06299973,290.2892151,34.08414459,297.0432739,34.10481262,295.8895874,
35.00083542,33.64233398,35.02146149,362.1253662,35.0424614,308.8321533,35.06322861,291.2065735,35.08396149,296.9831238,35.10528946,289.2023926,
36.00083542,34.7261734,36.02033234,363.2903137,36.04166794,306.1741943,36.06233215,290.868927,36.08345795,295.3200684,36.10395813,291.717926,
37.00083542,33.09581375,37.02081299,365.6811523,37.04148102,315.9969788,37.06283188,290.7932129,37.08379364,300.9478149,37.10479355,288.9474487,
38.00083542,34.42116928,38.01997757,356.312439,38.04148102,301.4945374,38.06181335,294.1029053,38.08331299,298.1269836,38.10433197,298.3707886,
39.00083542,33.21691132,39.0219574,366.4220276,39.04328918,318.7877502,39.06431198,292.5924988,39.0849762,295.2703552,39.10550308,296.4569702,
40.00083542,33.92417526,40.02228928,358.2806091,40.04362488,304.7095642,40.06447601,291.2588806,40.08470917,296.4442749,40.10564804,289.5890808,
41.00083542,35.75075531,41.02187347,362.1795044,41.04266739,320.4675598,41.06378937,287.7796021,41.08414841,295.5968628,41.10531235,292.550415,
42.00083542,35.32594681,42.02112579,358.0630798,42.0424614,321.8729858,42.06281281,291.397522,42.08399963,299.4115906,42.10445786,294.3412476,
43.00083542,32.55190277,43.02146149,366.8616638,43.0422287,319.3212585,43.06304169,297.4125671,43.08420944,298.4713135,43.10433197,287.9367676,
44.00083542,30.56153107,44.0212059,358.4367065,44.04214859,306.1140747,44.06289291,286.9346619,44.08399963,298.1694946,44.10528946,294.7726746,
45.00083542,31.41716194,45.02079391,356.0158691,45.04162598,317.829834,45.06256104,291.323822,45.08348083,289.908783,45.10398102,292.9516907,
46.00083542,34.04601288,46.02098083,348.2480164,46.0418129,311.9786377,46.06299973,290.4697266,46.0833931,291.640625,46.10445786,294.2532654,
47.00083542,34.78371811,47.0213356,347.9198303,47.04112625,314.4114075,47.06248093,277.2515869,47.0828743,293.6590881,47.10412598,290.1344299,
48.00083542,32.59126282,48.02064514,360.5893555,48.04131317,312.6133728,48.06197739,288.1138916,48.08316803,289.756073,48.1037941,292.7926636,
49.00083542,30.19867516,49.02045822,352.8692932,49.04120636,305.0024719,49.06203842,281.7019348,49.08329391,288.816803,49.1046257,285.6229858,
50.00083542,33.30031967,50.0212059,352.3526001,50.04248047,314.8352966,50.06378937,292.2447815,50.0844574,295.2472229,50.1049614,294.3669128,
51.00083542,32.07129288,51.02106094,358.3102112,51.04145813,305.4821777,51.06222916,284.6456604,51.08362579,295.2269897,51.10395813,300.9025269,
